,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
75,lstm,0.1,0.2,5,23,32,37,40,48,1
76,lstm,1e-05,0.1,5,47,11,4,34,2,1
77,lstm,0.001,0.5,2,40,32,46,19,25,3
78,mlp,0.01,0.9,1,2,3,33,40,39,2
79,mlp,0.001,0.7,1,26,36,20,39,3,3
80,lstm,1e-05,0.4,3,45,23,39,34,17,2
81,mlp,0.01,0.0,4,3,21,39,44,50,2
82,lstm,0.0001,0.0,5,15,28,45,50,32,3
83,mlp,1e-05,0.3,3,4,13,11,49,6,3
84,lstm,0.001,0.7,4,20,43,2,3,24,3
85,lstm,1e-05,0.9,2,11,43,29,31,34,3
86,mlp,1e-05,0.8,3,41,5,38,17,49,3
87,mlp,1e-05,0.6,4,16,37,28,35,37,2
88,mlp,0.001,0.3,1,15,49,24,16,24,1
89,mlp,1e-05,0.8,1,48,11,7,35,39,2
90,lstm,0.001,0.6,5,35,6,20,42,44,2
91,lstm,1e-05,0.5,4,31,14,39,9,25,1
92,lstm,0.1,0.8,1,30,12,2,29,39,2
93,lstm,0.1,0.5,3,50,3,27,30,25,2
94,lstm,0.0001,0.9,4,17,22,40,22,46,2
95,lstm,1e-05,0.2,2,11,10,44,34,44,2
96,lstm,0.0001,0.3,2,24,5,2,3,20,1
97,mlp,0.001,0.4,4,49,26,20,25,39,2
98,lstm,0.1,0.2,2,45,23,25,10,16,2
99,lstm,0.0001,0.5,2,46,32,34,34,49,1
100,lstm,0.01,0.3,1,21,24,4,6,3,1
101,mlp,0.01,0.0,4,18,6,8,28,19,2
102,lstm,0.0001,0.9,3,34,20,31,31,15,3
103,lstm,0.001,0.0,4,9,25,5,23,39,3
104,lstm,0.01,0.4,1,28,28,34,20,24,3
105,mlp,1e-05,0.7,5,50,11,47,44,2,1
106,lstm,0.01,0.6,4,48,4,34,21,16,1
107,mlp,0.0001,0.0,1,50,46,47,27,18,1
108,lstm,0.1,0.3,4,49,45,5,16,7,2
109,lstm,0.0001,0.9,3,19,5,41,13,40,1
110,mlp,1e-05,0.9,1,12,3,36,31,8,2
111,lstm,0.0001,0.1,4,14,17,50,26,2,3
112,mlp,0.1,0.3,1,45,11,20,16,7,3
113,mlp,0.001,0.0,1,50,47,25,39,10,2
114,mlp,0.01,0.1,1,23,43,50,9,14,1
115,mlp,0.1,0.9,2,35,28,31,24,19,2
116,mlp,0.001,0.7,2,50,40,8,27,32,2
117,lstm,0.001,0.8,3,9,37,22,5,48,1
118,lstm,0.01,0.4,5,15,31,11,42,33,2
119,mlp,1e-05,0.1,3,11,18,15,21,22,2
120,mlp,0.1,0.5,1,22,47,33,34,42,1
121,lstm,0.0001,0.2,5,34,18,44,17,46,2
122,mlp,1e-05,0.3,2,44,42,8,13,24,3
123,mlp,0.0001,0.1,5,27,18,47,24,42,3
124,mlp,0.0001,0.0,2,50,25,42,32,41,2
125,mlp,0.0001,0.8,3,31,21,32,45,2,3
126,lstm,0.1,0.6,2,10,7,2,50,7,3
127,lstm,0.001,0.5,2,26,26,44,49,49,3
128,lstm,0.001,0.1,1,25,9,46,7,40,2
129,mlp,0.1,0.9,2,41,23,4,21,9,2
130,mlp,1e-05,0.2,2,26,26,16,11,11,2
131,mlp,0.001,0.9,1,47,28,34,50,39,2
132,lstm,1e-05,0.8,2,5,26,47,19,15,1
133,mlp,1e-05,0.0,2,11,7,7,17,33,2
134,mlp,0.01,0.2,2,40,20,2,46,13,2
135,mlp,0.1,0.1,2,43,11,20,32,27,2
136,mlp,0.0001,0.7,5,48,9,40,21,36,3
137,mlp,0.1,0.8,4,27,14,34,24,12,2
138,lstm,0.0001,0.1,5,50,26,22,38,15,1
139,lstm,1e-05,0.8,3,45,26,19,16,38,1
140,mlp,0.1,0.6,1,9,6,31,23,13,3
141,mlp,0.0001,0.2,4,45,48,37,36,50,1
142,mlp,0.01,0.1,3,45,16,24,12,22,3
143,lstm,1e-05,0.3,3,13,50,4,38,47,3
144,mlp,0.01,0.2,2,33,21,5,41,23,2
145,lstm,1e-05,0.4,5,24,31,50,14,27,2
146,lstm,0.01,0.7,3,3,30,42,30,28,1
147,lstm,0.01,0.9,3,38,2,7,4,48,2
148,mlp,0.01,0.0,2,19,42,27,44,27,1
149,mlp,0.0001,0.8,4,6,48,40,22,25,2
150,mlp,1e-05,0.3,3,5,30,30,39,3,2
151,mlp,0.01,0.4,1,23,19,12,20,45,3
152,lstm,0.01,0.3,5,47,49,32,30,30,3
153,lstm,1e-05,0.6,3,36,40,8,33,25,2
154,mlp,0.001,0.5,5,49,19,44,34,14,1
155,lstm,1e-05,0.1,2,23,33,47,16,23,1
156,lstm,0.01,0.0,5,49,30,17,13,36,2
157,mlp,0.001,0.9,5,28,39,33,46,11,3
158,mlp,0.1,0.3,1,31,6,25,36,19,3
159,mlp,1e-05,0.7,1,11,22,26,13,47,3
160,lstm,1e-05,0.9,1,12,26,6,25,16,1
161,mlp,0.1,0.6,5,45,25,29,31,11,1
162,mlp,1e-05,0.2,2,30,47,28,45,13,1
163,mlp,0.001,0.6,2,49,31,35,11,27,1
164,lstm,0.001,0.3,5,10,40,30,41,10,1
165,lstm,1e-05,0.0,1,38,48,6,34,11,1
166,lstm,0.1,0.3,1,43,22,23,35,35,1
167,mlp,0.1,0.6,3,41,31,26,31,47,1
168,lstm,0.001,0.6,2,17,35,22,39,46,3
169,mlp,0.0001,0.1,3,2,28,37,36,48,2
170,mlp,1e-05,0.0,3,2,35,5,17,30,3
171,mlp,0.0001,0.4,4,11,10,12,31,28,3
172,lstm,0.001,0.0,5,36,28,14,44,22,1
173,mlp,0.1,0.2,5,35,36,20,45,13,1
174,mlp,0.1,0.7,1,6,48,31,43,47,1
175,lstm,0.0001,0.5,5,46,48,16,41,37,1
176,mlp,0.001,0.6,4,22,2,14,45,46,1
177,mlp,0.1,0.4,1,30,14,17,15,44,2
178,mlp,0.1,0.5,3,29,44,36,43,23,3
179,lstm,1e-05,0.2,2,15,31,37,47,40,2
180,mlp,0.1,0.6,2,21,25,40,37,22,2
181,mlp,1e-05,0.3,3,38,16,3,7,25,2
182,lstm,0.01,0.4,1,27,16,3,13,10,2
183,lstm,0.1,0.8,5,26,5,27,11,38,1
184,lstm,0.1,0.1,4,6,14,47,34,18,2
185,lstm,0.01,0.4,3,16,7,19,31,24,3
186,lstm,1e-05,0.8,1,41,35,37,20,30,2
187,lstm,0.0001,0.8,2,23,37,29,30,27,2
188,lstm,1e-05,0.7,5,39,50,19,22,36,2
189,lstm,0.1,0.8,4,40,35,30,44,37,1
190,lstm,0.0001,0.8,5,47,22,27,49,10,1
191,lstm,0.01,0.9,4,9,27,18,41,45,1
192,mlp,0.001,0.5,2,7,10,33,16,30,3
193,lstm,0.0001,0.7,4,46,32,22,34,14,2
194,mlp,1e-05,0.6,3,28,5,21,4,45,3
195,mlp,0.01,0.1,3,35,12,11,35,30,1
196,lstm,1e-05,0.0,5,19,21,25,4,49,3
197,lstm,0.0001,0.1,2,11,23,38,7,50,1
198,mlp,0.001,0.5,5,7,46,39,15,4,2
199,mlp,0.1,0.1,5,9,45,35,13,17,1
200,lstm,0.001,0.0,1,7,34,36,32,6,3
201,lstm,0.0001,0.1,2,45,12,27,8,10,3
202,lstm,1e-05,0.1,2,32,32,32,24,28,2
203,lstm,0.0001,0.3,5,45,5,42,13,27,3
204,mlp,1e-05,0.7,2,10,44,25,40,43,2
205,mlp,0.001,0.3,5,19,42,25,13,22,1
206,mlp,1e-05,0.3,5,42,49,17,33,33,1
207,lstm,0.001,0.7,4,47,6,28,45,6,3
208,lstm,0.001,0.7,1,17,32,39,46,40,1
209,lstm,0.1,0.7,3,37,46,10,30,38,1
210,lstm,0.0001,0.7,4,41,3,42,28,16,1
211,lstm,0.1,0.6,3,34,35,42,28,13,2
212,lstm,0.001,0.7,1,36,49,39,13,18,3
213,mlp,1e-05,0.7,5,4,10,28,29,41,3
214,mlp,0.0001,0.2,3,35,2,36,8,3,1
215,lstm,0.1,0.0,3,6,31,50,13,46,3
216,mlp,0.001,0.9,1,12,24,27,14,17,2
217,mlp,1e-05,0.1,3,47,33,45,10,31,3
218,lstm,0.001,0.4,4,35,13,37,20,48,1
219,lstm,1e-05,0.0,3,7,44,8,16,17,3
220,mlp,1e-05,0.3,5,28,47,21,12,14,3
221,mlp,0.1,0.3,5,17,16,9,9,36,2
222,mlp,0.01,0.4,5,39,7,37,8,42,1
223,lstm,0.01,0.8,3,5,12,19,7,47,1
224,lstm,0.01,0.9,3,20,33,39,16,9,3
225,mlp,0.1,0.2,5,40,41,46,19,31,1
226,lstm,0.1,0.3,3,43,10,47,38,14,1
227,lstm,0.001,0.5,2,32,39,8,22,14,2
228,mlp,0.001,0.7,1,31,29,45,25,22,1
229,lstm,0.0001,0.9,3,24,48,46,30,7,2
230,lstm,1e-05,0.8,4,14,29,42,27,25,2
231,lstm,0.01,0.2,4,25,37,2,25,17,2
232,mlp,0.01,0.4,3,23,10,20,30,46,3
233,mlp,0.0001,0.0,2,45,38,32,16,21,1
234,mlp,0.01,0.5,2,49,23,12,40,24,2
235,lstm,0.001,0.8,3,3,28,11,17,20,1
236,lstm,0.01,0.1,2,48,41,11,32,12,2
237,lstm,0.1,0.5,3,24,30,38,23,18,1
238,lstm,0.01,0.2,1,45,35,40,28,31,1
239,lstm,0.0001,0.0,5,11,41,33,19,26,2
240,mlp,0.1,0.0,5,44,36,17,28,16,2
241,lstm,0.0001,0.3,4,36,24,24,23,4,3
242,lstm,0.0001,0.0,3,23,48,5,12,19,3
243,lstm,0.0001,0.6,1,49,22,38,8,4,1
244,mlp,0.01,0.5,3,41,33,49,44,47,2
245,mlp,1e-05,0.1,5,36,10,21,38,26,2
246,mlp,0.1,0.8,2,17,30,38,39,48,2
247,lstm,0.0001,0.9,4,29,20,12,45,48,2
248,lstm,0.01,0.6,5,40,40,10,8,43,2
249,mlp,0.01,0.3,5,24,33,42,22,27,2
250,mlp,0.0001,0.8,2,43,32,29,19,48,2
251,lstm,1e-05,0.9,5,45,42,34,18,15,3
252,lstm,0.001,0.9,2,2,43,20,41,16,1
253,lstm,0.01,0.5,1,11,44,42,47,8,3
254,mlp,0.0001,0.7,3,34,24,27,29,30,3
255,mlp,0.0001,0.6,4,9,42,42,16,35,1
256,lstm,1e-05,0.5,4,47,48,16,38,32,3
257,mlp,0.0001,0.3,4,29,9,44,11,44,1
258,mlp,0.0001,0.8,2,40,17,13,35,45,3
259,mlp,0.01,0.7,3,11,43,27,9,31,3
260,mlp,0.001,0.9,5,37,29,2,7,27,1
261,lstm,1e-05,0.9,3,3,12,27,34,16,1
262,lstm,0.001,0.9,4,10,32,20,46,28,1
263,mlp,0.0001,0.9,3,22,2,45,2,49,1
264,lstm,0.01,0.8,4,8,29,2,41,25,3
265,lstm,1e-05,0.7,4,47,14,44,49,40,1
266,mlp,0.1,0.6,5,25,13,27,35,48,3
267,lstm,1e-05,0.1,5,48,49,19,27,45,1
268,lstm,0.01,0.4,4,11,47,7,5,24,1
269,mlp,1e-05,0.0,2,4,42,49,37,48,2
270,mlp,0.0001,0.3,2,24,37,33,5,12,1
271,mlp,1e-05,0.1,1,7,50,29,34,26,3
272,lstm,1e-05,0.6,1,43,5,11,3,13,3
273,lstm,0.0001,0.7,4,12,13,42,45,11,2
274,mlp,0.0001,0.5,3,19,26,34,34,7,3
275,mlp,0.001,0.0,5,38,38,12,31,21,2
276,mlp,0.001,0.2,4,8,26,19,4,25,2
277,lstm,1e-05,0.4,1,8,23,47,14,5,2
278,lstm,0.001,0.5,1,43,17,8,29,25,3
279,lstm,1e-05,0.8,5,8,35,5,25,9,1
280,mlp,0.01,0.3,3,26,42,26,49,13,2
281,lstm,0.1,0.6,3,18,33,50,6,2,3
282,mlp,0.01,0.7,3,32,46,44,30,37,2
283,mlp,0.0001,0.8,4,15,12,46,36,34,1
284,mlp,0.01,0.6,2,19,26,11,11,3,1
285,mlp,0.0001,0.9,1,17,48,2,27,31,3
286,lstm,1e-05,0.9,2,43,41,21,9,31,3
287,lstm,0.0001,0.9,4,14,19,39,36,40,3
288,mlp,0.1,0.1,1,26,41,18,26,27,3
289,mlp,0.0001,0.0,3,36,29,41,7,47,3
290,lstm,0.0001,0.0,2,24,2,45,11,11,3
291,mlp,1e-05,0.0,3,42,4,28,24,23,3
292,lstm,0.0001,0.6,2,42,39,21,32,24,1
293,mlp,0.0001,0.6,3,43,8,44,38,17,3
294,mlp,0.01,0.9,4,36,3,30,18,18,2
295,mlp,1e-05,0.8,5,41,16,45,38,35,3
296,lstm,0.01,0.2,5,9,34,13,31,49,3
297,lstm,0.1,0.3,4,14,23,22,44,24,3
298,lstm,0.0001,0.1,4,33,3,34,39,44,3
299,lstm,0.0001,0.7,3,17,6,36,2,17,3
300,mlp,0.01,0.1,3,13,39,37,22,39,2
301,lstm,0.01,0.1,4,33,48,15,31,40,2
302,mlp,0.1,0.8,4,26,38,26,10,19,2
303,mlp,0.1,0.3,4,22,49,50,9,48,2
304,lstm,0.0001,0.3,5,17,14,42,40,19,1
305,mlp,1e-05,0.6,4,22,43,23,21,12,2
306,mlp,0.0001,0.3,2,21,24,26,43,31,2
307,mlp,0.001,0.6,3,30,18,47,47,18,3
308,lstm,1e-05,0.6,5,22,3,40,11,28,3
309,mlp,0.0001,0.1,1,6,4,7,41,37,2
310,mlp,0.001,0.1,3,26,10,11,6,4,1
311,lstm,0.0001,0.8,4,17,4,34,35,31,2
312,mlp,1e-05,0.9,1,47,40,3,10,44,1
313,mlp,0.1,0.5,3,6,16,12,28,17,3
314,lstm,0.01,0.2,5,19,41,30,32,23,1
315,mlp,1e-05,0.5,3,18,34,9,12,37,3
316,lstm,0.001,0.5,3,40,9,32,30,48,2
317,mlp,0.01,0.5,5,10,36,21,24,14,2
318,lstm,0.01,0.7,2,41,2,14,16,50,2
319,mlp,0.01,0.3,5,34,6,48,13,6,1
320,mlp,0.1,0.7,2,7,20,43,31,34,2
321,lstm,0.01,0.8,4,44,43,44,46,7,2
322,lstm,1e-05,0.8,3,22,36,40,6,30,3
323,lstm,0.001,0.2,4,21,2,28,24,37,3
324,mlp,0.1,0.3,5,35,10,7,7,4,2
325,mlp,0.1,0.4,2,2,31,46,31,12,2
326,lstm,1e-05,0.7,5,14,22,34,10,21,2
327,mlp,0.0001,0.0,3,20,24,14,33,34,2
328,mlp,1e-05,0.3,5,33,14,23,27,4,3
329,lstm,0.1,0.1,2,25,3,33,14,35,2
330,lstm,0.001,0.1,1,22,24,17,20,23,2
331,lstm,0.01,0.0,5,23,9,7,33,13,1
332,mlp,0.1,0.9,1,32,26,37,7,8,3
333,mlp,0.001,0.4,2,50,14,9,20,50,2
334,mlp,0.01,0.0,5,18,7,8,21,6,3
335,mlp,0.1,0.6,1,25,36,45,49,19,3
336,lstm,0.001,0.5,2,47,26,33,38,43,2
337,mlp,0.01,0.6,1,11,16,32,17,25,1
338,mlp,0.1,0.4,5,36,38,9,43,36,3
339,lstm,0.001,0.6,3,19,22,26,5,38,1
340,lstm,0.1,0.3,3,33,11,41,26,47,2
341,mlp,0.1,0.2,1,27,23,35,17,30,3
342,mlp,0.01,0.6,5,28,29,42,5,18,2
343,mlp,0.001,0.7,2,7,36,34,4,25,3
344,mlp,0.1,0.8,1,41,22,10,39,35,1
345,mlp,0.1,0.2,5,41,9,31,44,50,2
346,mlp,1e-05,0.1,4,11,46,36,46,12,2
347,lstm,0.01,0.0,2,46,23,39,44,4,1
348,lstm,0.001,0.9,2,31,23,38,21,39,1
349,lstm,0.001,0.4,5,33,45,47,43,23,2
350,lstm,1e-05,0.2,4,21,5,40,7,8,1
351,lstm,0.001,0.4,5,37,21,30,4,29,1
352,mlp,0.001,0.9,1,48,29,44,24,41,3
353,lstm,0.01,0.7,3,31,23,46,45,42,1
354,mlp,0.0001,0.4,4,25,12,23,24,12,2
355,mlp,0.01,0.9,3,7,18,31,30,7,2
356,lstm,1e-05,0.8,1,38,35,25,44,19,3
357,mlp,0.001,0.1,3,32,13,38,2,7,2
358,lstm,1e-05,0.1,5,34,27,33,33,34,1
359,lstm,0.1,0.4,1,16,49,50,33,45,2
360,mlp,0.001,0.0,2,23,26,12,44,38,2
361,lstm,1e-05,0.2,5,28,4,25,34,42,1
362,mlp,0.1,0.0,1,33,9,29,49,27,1
363,mlp,0.0001,0.5,3,39,16,41,24,48,2
364,mlp,0.1,0.4,2,15,50,20,50,49,3
365,lstm,0.001,0.3,3,46,42,39,43,15,2
366,mlp,0.01,0.1,4,10,25,26,19,16,2
367,lstm,0.001,0.1,4,15,19,18,7,8,1
368,lstm,1e-05,0.6,5,27,35,2,38,34,3
369,mlp,0.0001,0.9,5,3,18,5,8,10,1
370,lstm,0.01,0.6,1,27,48,12,10,12,1
371,mlp,0.0001,0.1,2,19,21,44,7,29,3
372,mlp,0.01,0.7,2,18,35,32,2,10,2
373,lstm,0.01,0.0,4,50,21,4,14,29,2
374,lstm,0.001,0.7,4,25,17,33,8,33,1
375,lstm,0.1,0.7,2,9,32,22,30,25,2
376,mlp,1e-05,0.1,3,3,42,12,38,49,3
377,lstm,0.0001,0.3,1,2,20,44,10,13,3
378,mlp,0.0001,0.9,3,21,46,28,7,22,1
379,mlp,0.001,0.0,4,46,40,7,39,4,2
380,lstm,1e-05,0.0,1,8,6,28,25,44,3
381,lstm,0.001,0.8,2,12,35,29,15,24,1
382,lstm,0.001,0.3,2,30,6,28,17,24,2
383,lstm,1e-05,0.7,3,5,11,24,49,42,1
384,lstm,0.1,0.7,2,43,24,47,23,45,1
385,mlp,0.0001,0.3,4,48,14,16,26,6,3
386,mlp,0.01,0.4,2,34,44,27,24,23,2
387,lstm,0.001,0.3,3,24,19,42,45,2,2
388,mlp,0.0001,0.7,3,42,37,37,20,13,2
389,mlp,0.001,0.7,1,46,2,14,19,3,3
390,mlp,0.001,0.7,2,9,17,44,11,38,2
391,lstm,1e-05,0.6,3,37,30,34,41,49,2
392,lstm,0.0001,0.3,4,38,43,26,42,37,3
393,lstm,0.01,0.7,4,21,26,40,7,11,3
394,lstm,0.1,0.7,2,28,25,32,41,35,3
395,lstm,0.1,0.4,5,30,2,15,30,40,3
396,mlp,0.001,0.8,2,12,12,6,28,17,3
397,lstm,0.1,0.8,4,43,4,3,46,2,3
398,lstm,0.1,0.3,1,41,48,33,22,47,2
399,mlp,0.1,0.2,4,4,14,44,10,12,2
400,mlp,0.001,0.3,4,19,40,30,49,41,1
401,lstm,0.0001,0.9,2,42,33,24,47,32,1
402,lstm,0.0001,0.9,1,13,13,27,14,11,1
403,lstm,0.001,0.6,1,4,47,26,9,6,1
404,lstm,1e-05,0.0,4,40,16,40,35,41,3
405,lstm,0.001,0.2,4,3,31,47,10,18,3
406,mlp,0.0001,0.5,5,18,48,47,31,31,1
407,lstm,0.1,0.7,4,35,2,46,25,47,2
408,lstm,0.1,0.4,2,49,50,38,27,46,3
409,mlp,0.001,0.9,2,25,50,3,39,49,1
410,mlp,0.1,0.7,5,43,29,10,3,44,2
411,lstm,0.01,0.4,3,43,13,26,50,7,1
412,lstm,0.1,0.2,5,8,43,3,50,47,1
413,lstm,0.0001,0.8,5,42,42,34,30,43,3
414,mlp,0.01,0.5,4,46,45,3,47,3,3
415,lstm,0.0001,0.5,4,3,8,48,30,26,2
416,mlp,0.01,0.8,3,9,13,34,46,26,1
417,lstm,0.01,0.9,2,20,38,21,31,21,3
418,lstm,0.0001,0.9,4,35,43,46,39,10,3
419,mlp,0.0001,0.3,3,26,28,44,21,27,3
420,mlp,0.0001,0.9,3,4,17,48,2,34,1
421,lstm,0.001,0.1,1,26,13,36,15,44,2
422,mlp,1e-05,0.4,1,13,49,28,27,38,1
423,lstm,0.1,0.2,4,50,23,47,43,23,1
424,mlp,0.01,0.0,2,18,49,9,40,27,3
425,lstm,1e-05,0.0,2,43,27,20,23,4,1
426,lstm,0.1,0.0,2,45,9,40,48,42,1
427,lstm,0.01,0.8,4,15,13,15,26,45,2
428,mlp,0.001,0.1,4,45,13,17,4,10,2
429,lstm,0.0001,0.8,5,19,12,39,47,3,2
430,mlp,1e-05,0.8,3,34,3,29,36,49,2
431,mlp,0.1,0.0,3,24,9,36,25,29,3
432,mlp,0.001,0.2,5,44,24,4,47,31,3
433,mlp,0.001,0.2,2,6,48,31,45,21,1
434,mlp,0.0001,0.6,3,10,39,27,42,12,2
435,mlp,0.0001,0.4,4,33,18,36,25,48,1
436,mlp,0.0001,0.7,3,3,16,34,50,6,3
437,mlp,0.1,0.0,5,18,49,7,8,16,2
438,lstm,1e-05,0.2,2,10,46,34,16,36,1
439,mlp,0.0001,0.0,2,2,22,22,42,11,1
440,mlp,0.1,0.0,5,12,47,45,44,41,3
441,lstm,0.01,0.8,1,22,47,9,40,14,3
442,mlp,0.01,0.9,2,43,49,50,21,16,1
443,mlp,1e-05,0.3,1,20,16,36,18,11,2
444,mlp,1e-05,0.1,4,28,14,5,14,17,1
445,lstm,0.001,0.3,1,29,13,48,42,25,2
446,mlp,0.1,0.0,1,36,8,30,29,32,3
447,lstm,0.0001,0.6,3,3,47,17,26,20,1
448,mlp,1e-05,0.9,2,31,17,43,33,46,2
449,lstm,0.1,0.8,3,32,43,44,24,7,3
