,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
138,lstm,0.01,0.6,3,48,42,46,17,8,4
139,mlp,0.1,0.8,3,9,24,43,48,10,4
140,mlp,0.1,0.9,5,48,35,32,38,28,5
141,mlp,0.01,0.4,5,10,5,40,34,9,3
142,lstm,0.01,0.6,3,36,3,18,36,19,4
143,mlp,0.01,0.6,1,49,25,6,43,36,4
144,lstm,1e-05,0.4,4,45,10,11,6,39,3
145,lstm,0.0001,0.5,3,20,12,11,26,30,5
146,lstm,1e-05,0.2,3,20,44,45,42,40,2
147,lstm,0.01,0.6,5,8,31,3,29,40,5
148,mlp,0.001,0.6,4,40,31,5,8,32,2
149,lstm,0.1,0.1,5,10,35,34,50,24,4
150,mlp,0.0001,0.3,5,17,8,37,24,12,2
151,lstm,0.001,0.6,3,18,44,42,5,41,5
152,mlp,0.0001,0.5,3,50,23,30,46,17,3
153,lstm,0.001,0.1,5,13,36,43,42,33,4
154,lstm,1e-05,0.0,4,15,26,42,13,27,3
155,lstm,0.01,0.5,3,44,17,45,31,49,5
156,mlp,0.0001,0.3,4,30,27,36,9,38,5
157,mlp,0.01,0.2,1,26,28,8,3,43,2
158,lstm,0.0001,0.6,5,20,11,11,35,8,4
159,lstm,0.0001,0.6,2,36,46,27,2,36,3
160,mlp,0.01,0.2,3,44,17,6,36,37,3
161,lstm,0.0001,0.9,1,34,15,29,17,4,3
162,lstm,0.01,0.6,4,9,38,43,5,26,2
163,lstm,0.0001,0.0,5,17,2,3,21,31,4
164,mlp,0.01,0.9,2,37,47,22,36,42,5
165,mlp,1e-05,0.2,4,46,26,14,33,19,4
166,lstm,0.001,0.9,3,13,48,41,7,48,4
167,mlp,0.01,0.4,3,18,24,26,19,38,5
168,lstm,0.01,0.2,3,16,14,6,39,36,3
169,mlp,0.01,0.9,2,37,31,27,47,14,2
170,lstm,0.01,0.0,1,49,27,26,28,45,3
171,lstm,1e-05,0.8,1,17,26,10,20,14,5
172,mlp,0.01,0.3,3,47,11,24,33,36,4
173,lstm,1e-05,0.4,2,47,31,3,20,41,2
174,mlp,0.0001,0.4,5,5,5,22,12,10,2
175,lstm,0.0001,0.9,2,49,15,34,34,27,2
176,lstm,0.0001,0.8,2,47,39,18,48,2,2
177,lstm,1e-05,0.6,4,36,41,16,19,4,3
178,lstm,0.0001,0.4,4,27,19,33,8,44,3
179,lstm,1e-05,0.0,4,50,4,33,15,27,4
180,lstm,0.1,0.1,1,29,30,14,13,40,3
181,mlp,1e-05,0.5,2,16,25,44,39,50,2
182,mlp,0.1,0.7,1,41,13,11,20,32,2
183,lstm,1e-05,0.6,1,27,34,38,43,21,5
184,mlp,0.001,0.7,1,37,32,3,29,21,4
185,lstm,1e-05,0.9,5,19,6,40,25,28,5
186,lstm,1e-05,0.9,1,4,38,35,2,8,4
187,mlp,0.001,0.8,1,42,25,39,6,33,2
188,mlp,0.001,0.8,5,2,12,22,25,15,3
189,lstm,1e-05,0.1,4,22,34,28,25,23,4
190,mlp,0.1,0.1,2,18,50,27,37,20,2
191,lstm,0.01,0.4,4,7,10,20,37,48,4
192,lstm,0.01,0.1,3,48,32,5,49,34,4
193,lstm,1e-05,0.1,5,22,23,20,35,10,2
194,mlp,0.001,0.0,1,22,28,49,12,37,2
195,mlp,0.01,0.3,2,9,39,10,39,34,2
196,mlp,0.0001,0.3,1,25,31,23,41,48,4
197,lstm,0.1,0.0,4,4,12,18,37,4,2
198,lstm,0.1,0.8,2,4,35,14,15,30,4
199,lstm,0.0001,0.8,3,22,27,43,6,14,3
200,lstm,1e-05,0.4,5,29,41,32,25,3,5
201,lstm,0.1,0.9,5,29,47,39,23,23,2
202,mlp,0.01,0.8,4,40,38,44,37,34,5
203,mlp,1e-05,0.7,2,19,45,35,21,38,5
204,mlp,0.001,0.4,1,40,50,4,31,31,4
205,lstm,1e-05,0.7,2,46,32,23,46,42,3
206,mlp,0.0001,0.0,1,24,2,18,50,36,2
207,mlp,0.0001,0.0,3,23,21,39,5,15,2
208,mlp,0.1,0.1,2,46,20,28,40,23,3
209,lstm,0.01,0.8,5,43,25,21,20,26,5
210,mlp,0.1,0.3,4,16,40,4,41,17,3
211,lstm,0.0001,0.6,2,41,11,48,21,49,4
212,lstm,0.001,0.7,4,12,45,11,3,25,5
213,mlp,1e-05,0.7,3,40,9,39,43,20,4
214,mlp,0.1,0.4,1,42,33,9,34,16,4
215,mlp,0.001,0.3,1,8,40,34,34,34,3
216,lstm,0.001,0.0,1,15,2,45,5,29,2
217,lstm,0.1,0.0,1,36,23,23,3,41,2
218,lstm,0.0001,0.3,3,20,39,37,35,18,3
219,lstm,0.01,0.6,1,17,37,46,30,4,4
220,mlp,0.0001,0.1,1,38,13,34,42,7,3
221,lstm,0.01,0.2,3,8,5,22,48,11,2
222,mlp,0.01,0.3,1,49,20,24,5,39,2
223,mlp,0.01,0.3,2,9,5,14,5,49,2
224,lstm,0.01,0.4,3,35,29,17,48,4,4
225,lstm,0.001,0.5,3,31,50,44,41,26,5
226,lstm,0.0001,0.3,4,23,13,40,43,9,3
227,lstm,0.0001,0.4,5,21,23,50,25,28,5
228,mlp,0.001,0.5,4,32,34,3,25,10,4
229,lstm,0.001,0.9,2,37,47,48,11,12,5
230,lstm,0.01,0.2,1,41,18,17,24,43,4
231,lstm,0.001,0.7,3,6,29,11,37,24,5
232,lstm,0.01,0.5,1,45,13,32,36,4,2
233,lstm,0.001,0.5,5,24,34,42,44,25,4
234,lstm,0.01,0.6,1,19,41,47,15,5,3
235,mlp,0.001,0.9,4,17,25,5,16,20,2
236,lstm,0.1,0.2,2,25,34,19,11,12,3
237,lstm,0.001,0.9,5,34,36,40,36,29,5
238,mlp,0.01,0.8,3,14,29,6,19,15,3
239,lstm,0.01,0.3,1,12,33,25,13,5,4
240,lstm,1e-05,0.3,2,7,30,43,43,14,4
241,lstm,1e-05,0.0,2,22,32,37,4,5,4
242,mlp,1e-05,0.5,2,33,6,34,22,44,4
243,mlp,1e-05,0.1,4,23,28,6,18,6,4
244,lstm,0.01,0.5,2,22,18,18,21,33,5
245,lstm,0.001,0.2,3,5,9,29,29,41,3
246,mlp,0.001,0.9,4,38,20,40,18,45,3
247,mlp,0.01,0.5,1,27,24,35,49,38,3
248,mlp,0.0001,0.2,4,46,17,4,48,42,3
249,lstm,0.1,0.0,5,34,32,38,32,46,4
250,lstm,1e-05,0.7,4,2,26,37,48,37,5
251,lstm,1e-05,0.9,3,5,48,25,24,30,3
252,mlp,0.1,0.7,3,14,12,10,30,4,4
253,mlp,0.01,0.9,4,32,2,38,16,41,2
254,mlp,0.01,0.8,2,27,31,9,22,18,3
255,lstm,0.001,0.2,2,49,41,35,21,16,5
256,mlp,0.0001,0.8,5,21,12,35,41,34,4
257,lstm,0.001,0.2,1,23,9,29,26,47,3
258,mlp,0.0001,0.8,4,25,15,5,7,48,2
259,lstm,1e-05,0.6,2,30,27,13,32,30,2
260,lstm,1e-05,0.7,4,26,20,24,50,13,4
261,lstm,0.1,0.8,1,44,6,37,16,30,4
262,mlp,0.001,0.1,4,5,49,31,19,28,5
263,mlp,1e-05,0.1,2,27,36,29,41,49,5
264,lstm,0.001,0.2,3,10,41,14,16,15,5
265,lstm,0.1,0.1,4,5,31,11,25,37,4
266,mlp,0.0001,0.0,4,33,47,30,21,49,4
267,mlp,0.001,0.4,2,8,33,13,30,11,5
268,lstm,1e-05,0.1,5,22,22,33,45,37,4
269,mlp,1e-05,0.9,4,22,33,46,27,36,3
270,lstm,0.01,0.8,2,40,17,5,22,41,2
271,mlp,0.0001,0.0,3,25,25,40,40,44,5
272,lstm,0.001,0.3,3,27,46,26,44,13,2
273,mlp,0.001,0.9,5,16,16,6,41,22,5
274,lstm,0.001,0.1,4,2,24,7,28,11,2
275,lstm,0.001,0.2,4,29,22,36,42,46,4
276,lstm,0.01,0.2,2,36,12,11,9,30,3
277,mlp,0.01,0.5,5,48,46,45,22,40,3
278,lstm,0.001,0.2,2,17,46,33,39,33,2
279,lstm,0.01,0.8,4,38,11,15,25,47,3
280,mlp,0.001,0.1,4,32,3,35,31,14,3
281,lstm,0.1,0.4,1,19,35,14,6,8,2
282,mlp,0.001,0.1,4,47,38,35,47,43,5
283,mlp,0.01,0.6,3,43,24,50,26,28,5
284,mlp,1e-05,0.3,2,6,11,17,17,3,3
285,mlp,0.0001,0.9,4,38,8,5,13,35,2
286,lstm,0.0001,0.4,4,10,17,46,44,25,5
287,mlp,1e-05,0.0,5,31,10,46,35,25,2
288,mlp,0.1,0.3,1,29,11,3,25,10,3
289,mlp,0.1,0.7,1,32,6,50,39,29,2
290,mlp,1e-05,0.9,5,8,10,36,45,47,5
291,mlp,0.01,0.8,4,32,48,22,30,9,2
292,lstm,1e-05,0.9,3,8,8,24,8,14,2
293,lstm,0.1,0.8,4,17,7,21,33,41,2
294,mlp,1e-05,0.4,4,42,4,44,40,3,4
295,mlp,0.0001,0.3,3,22,32,30,36,5,4
296,lstm,0.0001,0.7,3,39,39,13,22,34,5
297,mlp,1e-05,0.9,4,32,50,42,16,21,2
298,lstm,0.01,0.7,1,25,18,21,36,21,3
299,lstm,1e-05,0.2,4,4,30,32,48,38,4
300,mlp,0.01,0.0,5,14,19,41,6,31,4
301,lstm,0.001,0.8,1,38,27,9,8,45,4
302,mlp,0.1,0.9,4,35,23,39,45,4,3
303,lstm,0.1,0.9,1,4,9,37,35,21,3
304,lstm,1e-05,0.2,2,15,7,34,24,46,5
305,mlp,1e-05,0.2,3,38,17,6,40,18,2
306,lstm,0.0001,0.9,3,32,29,29,6,13,3
307,lstm,0.0001,0.6,3,24,34,11,13,16,3
308,lstm,0.001,0.1,4,22,15,16,18,11,5
309,lstm,0.0001,0.9,1,32,21,18,46,20,3
310,lstm,0.0001,0.0,4,31,36,3,10,16,5
311,lstm,0.001,0.9,4,14,35,23,8,17,3
312,mlp,1e-05,0.1,2,33,24,47,43,40,5
313,mlp,1e-05,0.6,1,42,27,11,29,10,2
314,mlp,0.0001,0.9,4,42,8,14,40,19,5
315,mlp,0.001,0.8,1,22,11,37,47,36,4
316,lstm,1e-05,0.1,3,31,18,50,8,20,3
317,lstm,0.0001,0.6,1,32,39,48,10,37,5
318,mlp,0.01,0.8,1,26,5,28,40,7,3
319,lstm,0.0001,0.1,3,41,4,24,4,6,2
320,lstm,1e-05,0.4,3,21,7,36,32,41,4
321,mlp,0.01,0.5,5,17,22,40,16,17,3
322,mlp,0.001,0.8,3,47,21,39,2,44,5
323,mlp,0.01,0.2,2,12,7,18,27,14,3
324,lstm,1e-05,0.9,1,22,26,47,15,12,2
325,mlp,0.01,0.6,1,46,21,16,48,42,4
326,mlp,0.001,0.1,1,6,16,9,35,31,5
327,lstm,1e-05,0.2,4,29,36,9,14,2,3
328,mlp,0.01,0.8,5,20,21,18,24,19,4
329,lstm,0.1,0.0,4,4,15,6,22,30,4
330,lstm,0.01,0.1,2,3,14,42,10,41,2
331,mlp,0.1,0.8,2,32,13,36,2,16,3
332,lstm,0.1,0.2,3,38,7,35,36,18,3
333,mlp,0.1,0.8,3,24,18,36,26,27,5
334,mlp,0.1,0.2,4,38,27,10,41,15,2
335,lstm,0.001,0.2,2,22,27,4,28,48,5
336,lstm,0.1,0.2,5,28,36,26,36,19,2
337,lstm,0.01,0.4,4,21,35,3,38,19,3
338,lstm,0.01,0.1,2,32,12,5,44,27,4
339,lstm,0.01,0.1,1,47,39,29,32,13,3
340,mlp,0.1,0.6,2,6,10,23,34,32,5
341,mlp,0.0001,0.9,2,30,18,27,24,26,3
342,mlp,1e-05,0.1,2,45,40,42,24,6,2
343,mlp,1e-05,0.7,1,50,31,9,42,43,3
344,mlp,0.001,0.8,1,23,45,4,19,39,4
345,lstm,1e-05,0.2,4,45,21,47,30,48,3
346,mlp,0.0001,0.0,5,18,9,20,18,3,2
347,mlp,1e-05,0.2,2,20,49,7,12,31,4
348,mlp,0.0001,0.7,1,38,33,38,7,44,2
349,lstm,0.1,0.4,1,19,21,13,36,32,4
350,lstm,0.0001,0.5,2,16,24,49,47,5,2
351,mlp,1e-05,0.3,4,11,13,16,7,27,2
352,lstm,0.001,0.0,4,36,41,35,12,4,5
353,lstm,0.001,0.8,4,14,4,40,47,26,5
354,mlp,1e-05,0.6,3,30,23,38,3,7,5
355,mlp,0.01,0.6,2,36,34,34,48,34,3
356,mlp,0.0001,0.7,3,24,47,31,27,37,5
357,mlp,0.01,0.5,5,36,47,47,35,16,4
358,lstm,0.1,0.4,4,12,18,39,18,33,2
359,lstm,0.0001,0.1,2,11,9,26,5,13,2
360,lstm,0.0001,0.8,4,3,5,19,5,35,5
361,lstm,0.001,0.9,4,9,23,22,26,43,5
362,mlp,0.1,0.3,4,37,24,29,29,47,5
363,mlp,0.01,0.2,1,23,24,26,6,42,4
364,lstm,0.01,0.1,5,15,32,47,16,24,3
365,lstm,0.001,0.2,2,43,27,29,33,24,2
366,lstm,0.1,0.5,2,11,15,27,30,34,4
367,mlp,1e-05,0.5,4,23,7,39,41,5,3
368,mlp,0.01,0.1,1,6,3,13,19,14,5
369,mlp,1e-05,0.8,3,46,45,18,37,26,2
370,mlp,0.0001,0.3,1,48,48,22,10,45,2
371,mlp,0.1,0.4,3,44,3,46,41,30,4
372,lstm,1e-05,0.5,4,46,50,48,5,39,5
373,lstm,0.0001,0.6,1,38,3,2,37,40,5
374,mlp,0.01,0.6,1,11,20,35,46,41,5
375,lstm,1e-05,0.7,3,39,40,18,49,45,2
376,mlp,1e-05,0.9,4,11,22,12,31,27,3
377,lstm,1e-05,0.9,5,27,18,27,33,48,2
378,mlp,0.01,0.4,4,19,9,18,2,9,2
379,mlp,0.01,0.7,2,17,4,16,7,8,2
380,lstm,1e-05,0.1,1,18,28,11,24,9,2
381,mlp,1e-05,0.9,2,12,36,38,33,12,4
382,mlp,1e-05,0.9,2,22,35,6,42,50,2
383,lstm,1e-05,0.4,1,30,7,2,44,5,4
384,mlp,1e-05,0.9,3,31,26,9,43,16,4
385,lstm,1e-05,0.8,1,25,47,30,8,29,3
386,mlp,0.1,0.5,3,50,15,23,41,11,3
387,lstm,0.01,0.7,3,43,10,28,44,23,5
388,mlp,0.1,0.4,1,35,20,47,34,22,3
389,lstm,0.01,0.3,4,24,18,2,33,34,3
390,mlp,0.0001,0.1,5,19,8,16,8,29,5
391,lstm,0.1,0.7,5,44,15,12,15,19,4
392,mlp,0.001,0.4,5,50,11,3,16,18,5
393,lstm,0.001,0.0,2,46,14,18,43,16,2
394,mlp,0.001,0.5,2,8,2,27,23,38,4
395,mlp,0.001,0.9,3,27,50,41,19,24,2
396,mlp,0.01,0.9,4,24,20,47,3,8,2
397,lstm,1e-05,0.3,5,30,20,29,27,41,2
398,lstm,0.0001,0.2,5,15,32,44,27,33,2
399,mlp,0.01,0.7,2,43,21,37,4,21,4
400,lstm,0.001,0.8,3,32,10,29,23,35,4
401,lstm,0.001,0.0,3,34,38,20,33,21,4
402,lstm,0.001,0.4,3,11,18,26,45,30,5
403,lstm,0.0001,0.0,1,39,15,22,5,35,4
404,lstm,0.0001,0.1,5,42,46,22,10,2,4
405,lstm,1e-05,0.5,5,29,47,17,35,7,2
406,mlp,0.1,0.7,1,12,49,19,44,41,3
407,mlp,0.001,0.2,1,4,33,26,36,45,2
408,mlp,0.001,0.6,1,16,23,28,39,38,5
409,lstm,1e-05,0.8,1,23,42,27,43,13,3
410,mlp,0.1,0.6,4,15,18,2,20,4,4
411,lstm,0.01,0.9,3,50,30,46,29,21,2
412,mlp,0.1,0.7,2,18,37,15,10,4,5
413,lstm,1e-05,0.8,3,2,48,26,23,8,4
414,lstm,1e-05,0.3,1,13,46,45,38,43,5
415,lstm,0.01,0.6,1,44,2,35,28,50,3
416,lstm,0.0001,0.6,2,12,16,7,41,30,4
417,mlp,0.01,0.8,5,18,26,17,44,20,4
418,lstm,0.001,0.5,5,48,19,34,43,16,3
419,lstm,0.1,0.3,3,12,49,22,16,12,2
420,lstm,0.0001,0.4,3,15,42,18,26,4,2
421,lstm,0.0001,0.6,3,25,27,24,41,14,4
422,mlp,0.001,0.7,5,11,39,24,11,26,2
423,lstm,0.001,0.1,4,15,31,21,4,19,4
424,lstm,1e-05,0.7,4,29,29,50,25,40,5
425,lstm,0.0001,0.6,3,8,7,48,12,47,4
426,mlp,1e-05,0.6,4,9,26,5,29,40,3
427,lstm,0.01,0.7,4,13,45,10,16,41,2
428,mlp,0.001,0.8,4,12,26,42,32,38,3
429,lstm,1e-05,0.3,2,50,10,9,19,37,2
430,lstm,0.001,0.4,2,5,21,44,45,11,3
431,lstm,0.01,0.9,4,19,50,10,6,14,3
432,mlp,0.01,0.6,5,33,13,40,6,33,3
433,lstm,0.1,0.2,2,14,41,41,46,11,4
434,lstm,1e-05,0.5,1,24,35,19,13,44,5
435,mlp,1e-05,0.9,5,16,10,37,39,9,5
436,mlp,0.001,0.3,4,45,37,27,23,44,3
437,lstm,0.1,0.5,5,31,12,44,48,31,4
438,mlp,0.01,0.7,2,36,32,36,20,40,3
439,lstm,1e-05,0.3,3,8,44,7,43,16,5
440,lstm,0.001,0.7,1,26,15,42,46,5,4
441,mlp,1e-05,0.3,4,2,50,31,22,28,3
442,lstm,0.01,0.8,1,49,26,12,3,34,5
443,mlp,0.001,0.8,4,3,43,40,44,29,5
444,lstm,1e-05,0.0,5,42,4,43,14,43,4
445,lstm,0.01,0.7,2,30,11,11,18,34,5
446,lstm,1e-05,0.1,1,46,26,32,25,15,2
447,mlp,0.01,0.7,2,12,17,14,35,44,4
448,mlp,0.0001,0.9,5,34,17,50,15,20,2
449,lstm,0.1,0.9,3,7,35,43,13,31,2
450,mlp,0.01,0.8,1,47,10,22,44,49,4
451,mlp,0.01,0.6,4,7,27,25,2,20,3
452,mlp,0.001,0.0,1,30,50,27,21,46,3
453,mlp,0.01,0.5,3,15,4,5,3,47,3
454,mlp,0.001,0.0,3,39,35,19,6,47,3
455,lstm,0.01,0.6,3,19,33,4,26,9,4
456,mlp,0.01,0.3,5,39,29,38,18,2,2
457,lstm,0.0001,0.2,3,6,40,17,37,43,3
458,lstm,0.0001,0.2,5,46,48,23,14,10,3
459,lstm,0.01,0.0,5,19,19,24,2,11,2
460,lstm,0.0001,0.6,4,21,45,10,27,29,4
461,mlp,0.001,0.4,4,13,19,2,21,16,2
462,mlp,0.1,0.0,1,40,31,2,42,17,3
463,mlp,1e-05,0.6,2,39,41,19,13,48,3
464,lstm,0.1,0.5,3,7,9,37,16,15,4
465,mlp,0.1,0.6,5,24,12,13,41,8,4
466,lstm,0.0001,0.9,1,31,29,15,6,6,4
467,mlp,0.0001,0.5,5,22,29,35,41,40,2
468,lstm,0.0001,0.5,5,49,33,24,46,9,5
469,mlp,0.1,0.3,3,28,44,45,10,14,4
470,lstm,0.01,0.9,3,5,44,9,19,42,2
471,lstm,1e-05,0.7,5,17,31,29,5,11,5
472,mlp,1e-05,0.4,4,7,38,29,10,45,3
473,mlp,0.0001,0.1,5,48,25,36,35,13,2
474,lstm,0.01,0.0,3,17,17,47,35,35,5
475,mlp,0.01,0.3,1,16,34,36,5,43,3
476,lstm,0.1,0.2,5,19,16,25,23,48,3
477,lstm,0.001,0.6,3,40,4,37,5,45,5
478,lstm,0.001,0.4,3,45,49,26,21,26,5
479,lstm,0.01,0.7,1,15,23,15,20,20,5
480,mlp,1e-05,0.9,5,15,46,31,26,7,2
481,lstm,0.001,0.9,4,15,48,20,28,13,5
482,mlp,0.0001,0.3,2,33,2,20,19,32,5
483,mlp,0.1,0.9,1,15,46,30,26,15,5
484,lstm,0.01,0.6,4,25,35,11,6,34,3
485,lstm,1e-05,0.3,5,36,48,31,43,21,4
486,mlp,0.01,0.0,4,29,44,45,39,24,5
487,mlp,0.01,0.4,2,44,31,38,32,19,5
