,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
143,mlp,0.0001,0.5,4,18,21,17,9,33,3
144,lstm,0.0001,0.5,1,40,15,19,49,2,3
145,mlp,0.001,0.3,1,22,32,28,11,23,2
146,mlp,0.001,0.2,3,20,33,31,6,39,2
147,mlp,0.1,0.8,5,26,27,16,42,48,1
148,mlp,0.01,0.0,5,23,19,8,49,33,3
149,mlp,0.01,0.1,5,36,4,44,28,25,2
150,mlp,0.01,0.3,2,14,14,11,24,34,1
151,mlp,0.001,0.7,2,49,4,5,14,24,2
152,mlp,1e-05,0.9,5,7,45,39,27,32,1
153,mlp,1e-05,0.9,1,48,3,7,17,30,2
154,mlp,0.001,0.2,1,37,41,38,12,31,2
155,mlp,1e-05,0.4,2,45,50,19,30,23,2
156,mlp,0.1,0.2,1,30,25,40,49,8,2
157,mlp,0.1,0.5,1,44,32,32,19,15,3
158,mlp,0.0001,0.7,4,7,21,23,5,6,3
159,lstm,0.001,0.4,3,36,35,23,44,6,1
160,mlp,0.1,0.0,1,27,12,10,24,9,2
161,mlp,0.0001,0.8,2,14,4,21,6,7,1
162,lstm,0.01,0.8,5,45,26,26,32,34,2
163,lstm,0.1,0.6,2,19,33,46,15,38,1
164,lstm,0.1,0.7,5,42,49,23,23,12,2
165,mlp,0.0001,0.0,2,21,46,6,41,48,3
166,mlp,0.001,0.4,1,23,21,30,25,36,3
167,lstm,0.0001,0.0,4,40,3,30,46,7,1
168,lstm,1e-05,0.1,3,11,10,15,7,28,3
169,mlp,0.1,0.4,5,44,31,32,4,13,2
170,lstm,0.001,0.8,4,41,4,34,19,6,1
171,mlp,0.1,0.7,4,4,32,49,8,22,2
172,mlp,0.1,0.9,4,33,5,38,48,35,3
173,lstm,0.001,0.4,4,29,14,30,10,42,1
174,lstm,0.01,0.4,5,18,44,35,29,14,2
175,lstm,0.0001,0.8,5,8,8,45,36,12,1
176,lstm,0.01,0.3,4,50,4,46,3,29,1
177,mlp,0.0001,0.1,1,18,46,26,21,36,2
178,mlp,0.01,0.3,1,34,44,44,29,25,1
179,lstm,0.01,0.3,2,4,9,14,32,19,1
180,mlp,0.01,0.8,2,46,47,50,35,28,2
181,lstm,1e-05,0.8,5,6,19,14,30,23,3
182,mlp,0.01,0.5,5,5,18,47,28,9,2
183,lstm,0.0001,0.8,5,17,41,19,6,35,1
184,lstm,1e-05,0.9,4,35,23,30,44,2,2
185,mlp,1e-05,0.9,5,8,3,15,3,21,3
186,mlp,1e-05,0.0,3,46,6,12,39,33,2
187,mlp,0.01,0.4,1,18,6,40,41,11,1
188,lstm,0.0001,0.7,1,2,47,19,14,9,2
189,lstm,0.1,0.6,4,25,39,20,14,33,1
190,mlp,1e-05,0.9,2,25,40,28,31,37,2
191,lstm,0.001,0.6,3,27,21,44,41,50,2
192,lstm,0.01,0.6,1,47,21,2,11,5,2
193,mlp,0.01,0.3,3,48,41,31,25,43,1
194,mlp,0.0001,0.3,1,40,43,7,19,45,2
195,lstm,0.001,0.7,2,29,43,20,20,43,2
196,mlp,0.0001,0.7,3,11,14,38,4,5,1
197,mlp,0.0001,0.2,4,31,8,34,41,31,2
198,mlp,1e-05,0.6,3,45,43,45,39,47,3
199,lstm,0.1,0.8,1,45,19,50,23,29,1
200,mlp,0.1,0.8,1,33,33,49,37,15,3
201,lstm,0.0001,0.8,1,30,7,20,38,19,2
202,mlp,0.001,0.1,4,40,36,17,8,11,2
203,mlp,0.1,0.5,3,7,12,7,21,11,3
204,mlp,0.0001,0.7,3,22,11,45,50,36,3
205,mlp,1e-05,0.8,2,6,32,34,25,35,1
206,lstm,1e-05,0.9,3,11,47,36,41,8,2
207,mlp,0.0001,0.1,5,50,32,26,25,19,2
208,lstm,0.001,0.3,3,46,34,50,32,32,1
209,lstm,0.001,0.1,4,48,17,26,5,9,3
210,lstm,0.01,0.0,2,41,16,29,21,37,1
211,lstm,0.01,0.5,2,22,48,5,33,22,1
212,mlp,0.1,0.4,3,41,49,49,5,7,3
213,lstm,0.001,0.8,5,29,25,15,33,40,2
214,mlp,0.001,0.8,5,5,20,42,11,48,3
215,lstm,1e-05,0.7,1,29,30,6,18,45,2
216,mlp,0.01,0.7,3,10,50,21,14,22,2
217,mlp,0.1,0.4,3,28,2,11,48,46,2
218,mlp,0.001,0.7,5,22,28,41,20,23,3
219,mlp,1e-05,0.0,3,2,9,5,42,2,2
220,lstm,0.01,0.7,2,28,19,38,46,4,2
221,lstm,0.001,0.1,5,8,29,38,27,43,3
222,mlp,0.001,0.4,5,18,20,13,31,24,1
223,mlp,1e-05,0.7,4,40,41,45,31,31,3
224,lstm,1e-05,0.4,1,14,8,39,23,44,1
225,mlp,0.001,0.1,4,33,6,3,11,41,1
226,mlp,1e-05,0.1,2,26,43,16,21,41,1
227,mlp,0.01,0.5,5,22,22,19,49,46,2
228,mlp,1e-05,0.1,1,40,44,24,9,23,1
229,mlp,0.1,0.1,5,45,20,15,49,18,3
230,mlp,0.0001,0.5,4,22,14,40,10,20,2
231,mlp,0.1,0.7,2,48,34,24,36,37,2
232,mlp,1e-05,0.4,2,20,50,46,19,41,3
233,lstm,0.01,0.2,5,34,8,5,8,26,2
234,mlp,0.001,0.4,4,10,39,43,26,22,2
235,mlp,1e-05,0.2,4,19,34,13,8,4,2
236,mlp,0.01,0.0,1,44,16,22,16,17,1
237,mlp,0.0001,0.8,5,17,38,4,25,33,3
238,mlp,0.001,0.8,2,26,2,15,10,28,2
239,lstm,0.01,0.8,3,26,36,6,24,8,2
240,mlp,0.001,0.5,2,27,43,4,26,48,1
241,lstm,0.001,0.2,4,33,17,16,10,43,2
242,mlp,1e-05,0.4,4,27,34,24,20,16,1
243,lstm,1e-05,0.7,5,23,32,44,28,21,1
244,mlp,0.01,0.9,1,3,26,49,44,46,1
245,mlp,1e-05,0.4,3,30,14,25,38,9,1
246,mlp,0.001,0.4,1,28,6,21,12,22,3
247,mlp,0.001,0.8,1,41,30,10,30,12,2
248,mlp,0.01,0.2,1,25,16,30,16,19,3
249,lstm,0.0001,0.5,1,36,12,42,42,5,2
250,lstm,1e-05,0.1,1,18,44,40,14,39,1
251,mlp,0.001,0.6,2,13,34,6,25,8,3
252,mlp,0.001,0.6,3,35,20,37,19,42,2
253,lstm,0.0001,0.8,2,45,38,3,17,43,1
254,mlp,0.1,0.6,1,10,10,40,13,42,2
255,mlp,0.1,0.4,4,34,11,24,35,3,1
256,lstm,0.1,0.0,5,50,2,7,23,44,3
257,mlp,1e-05,0.8,5,19,31,14,12,4,1
258,mlp,0.1,0.7,2,35,15,26,35,34,3
259,lstm,0.01,0.0,2,49,13,15,26,42,3
260,mlp,1e-05,0.0,1,27,28,4,47,47,1
261,mlp,0.0001,0.6,3,5,36,49,11,40,2
262,lstm,0.0001,0.9,1,50,19,47,14,4,3
263,lstm,1e-05,0.0,2,25,30,11,25,20,3
264,lstm,0.001,0.1,5,29,7,28,44,41,2
265,lstm,1e-05,0.0,2,28,40,23,7,3,3
266,lstm,0.01,0.3,3,20,25,49,45,22,1
267,mlp,0.1,0.3,5,10,12,16,27,16,3
268,lstm,0.1,0.3,2,19,27,25,15,14,2
269,lstm,0.0001,0.4,1,13,20,41,3,3,2
270,lstm,0.0001,0.9,1,25,46,12,26,37,1
271,lstm,1e-05,0.2,1,33,46,47,2,16,3
272,mlp,0.001,0.5,2,9,46,50,9,19,1
273,lstm,0.001,0.5,2,5,22,20,18,38,1
274,lstm,1e-05,0.2,2,43,8,41,13,38,1
275,mlp,0.0001,0.7,3,41,14,7,16,11,1
276,mlp,0.01,0.2,4,21,37,8,27,10,1
277,mlp,0.1,0.4,3,32,5,27,22,11,2
278,mlp,0.0001,0.4,5,18,16,6,11,44,1
279,mlp,0.1,0.6,2,42,14,3,28,13,1
280,mlp,0.01,0.9,3,38,28,48,35,31,1
281,lstm,1e-05,0.8,4,38,24,44,20,17,2
282,mlp,0.001,0.0,5,8,37,46,48,3,3
283,lstm,0.0001,0.0,4,32,22,29,32,11,1
284,mlp,1e-05,0.8,3,30,38,48,27,14,1
285,mlp,0.0001,0.2,4,26,19,47,6,32,1
286,mlp,1e-05,0.3,3,9,43,26,31,27,1
287,lstm,0.01,0.6,2,49,23,17,40,48,1
288,mlp,0.01,0.6,4,40,30,19,9,6,3
289,lstm,0.1,0.8,5,44,10,42,14,47,3
290,mlp,0.01,0.4,1,43,33,39,39,20,3
291,lstm,0.01,0.7,4,40,25,3,15,39,1
292,lstm,0.001,0.5,4,6,33,37,31,48,2
293,mlp,0.0001,0.2,1,41,19,3,17,24,3
294,lstm,0.1,0.4,1,33,20,37,35,15,1
295,lstm,0.0001,0.5,2,10,37,16,18,47,3
296,mlp,0.0001,0.3,5,15,5,15,15,9,1
297,mlp,0.1,0.4,5,31,38,40,7,43,2
298,mlp,0.001,0.0,4,26,33,12,48,46,1
299,mlp,0.001,0.8,1,13,40,50,48,21,2
300,lstm,0.0001,0.5,4,8,27,38,21,13,1
301,lstm,0.001,0.0,1,33,7,38,43,32,2
302,mlp,0.1,0.9,4,9,30,17,27,8,2
303,lstm,0.001,0.6,4,23,17,38,3,47,3
304,lstm,0.0001,0.1,1,48,50,42,23,41,3
305,lstm,0.0001,0.7,3,10,13,17,24,16,3
306,lstm,0.1,0.2,5,24,8,11,21,29,2
307,mlp,0.001,0.3,2,14,21,37,19,29,3
308,mlp,0.001,0.8,2,32,39,19,21,16,2
309,lstm,1e-05,0.8,2,38,42,10,26,9,1
310,mlp,0.001,0.8,5,45,2,37,24,13,2
311,mlp,0.01,0.7,5,6,3,9,8,47,3
312,mlp,0.0001,0.8,2,15,44,30,26,30,3
313,mlp,1e-05,0.0,5,46,17,2,24,12,3
314,lstm,1e-05,0.7,2,24,41,48,27,29,1
315,mlp,1e-05,0.8,3,5,16,46,21,5,1
316,lstm,1e-05,0.9,5,43,24,19,14,14,1
317,mlp,0.1,0.7,2,13,11,41,34,38,2
318,mlp,0.001,0.5,2,40,12,24,36,7,1
319,lstm,0.001,0.9,2,7,45,37,17,46,2
320,lstm,0.0001,0.8,1,10,10,22,31,10,2
321,mlp,0.001,0.5,3,50,2,17,30,43,1
322,mlp,0.0001,0.2,5,39,17,31,3,32,1
323,lstm,0.01,0.3,1,26,22,13,34,20,2
324,mlp,0.1,0.1,1,19,4,13,24,23,1
325,lstm,0.0001,0.7,3,37,26,10,7,4,1
326,mlp,1e-05,0.4,4,12,18,33,11,18,1
327,mlp,0.1,0.3,2,28,44,8,15,48,2
328,lstm,0.01,0.5,1,30,25,24,15,40,1
329,mlp,0.1,0.2,2,27,30,40,33,25,3
330,mlp,0.01,0.4,1,22,9,4,48,26,2
331,lstm,0.01,0.9,4,41,21,44,22,14,1
332,mlp,0.001,0.9,2,22,5,12,11,50,3
333,mlp,0.001,0.6,4,17,10,49,36,25,1
334,lstm,0.001,0.9,3,45,35,2,16,6,1
335,lstm,0.1,0.3,1,4,17,33,38,2,1
336,mlp,0.1,0.6,3,23,36,42,43,13,1
337,mlp,1e-05,0.6,2,20,49,29,35,43,1
338,lstm,0.1,0.3,5,16,13,44,7,32,3
339,lstm,0.1,0.2,4,13,23,49,14,9,3
340,mlp,0.01,0.7,1,33,13,17,41,5,3
341,mlp,0.001,0.7,1,27,37,27,34,32,1
342,mlp,0.001,0.2,1,30,28,25,19,2,3
343,lstm,0.0001,0.8,4,20,19,30,50,20,3
344,mlp,0.0001,0.7,1,7,27,19,16,12,2
345,lstm,0.01,0.3,1,41,37,50,47,28,3
346,lstm,0.1,0.5,4,9,32,49,28,11,1
347,mlp,0.001,0.1,5,46,45,18,7,49,1
348,lstm,0.1,0.6,4,24,13,46,13,23,1
349,lstm,1e-05,0.7,4,34,44,8,25,27,3
350,lstm,0.0001,0.4,1,2,47,35,48,39,3
351,mlp,0.1,0.7,2,2,5,19,17,48,3
352,mlp,0.01,0.1,1,35,6,47,27,12,2
353,lstm,0.01,0.2,1,6,45,41,35,14,3
354,lstm,0.01,0.3,3,27,26,6,6,48,2
355,mlp,0.1,0.3,3,35,47,28,13,46,1
356,mlp,0.0001,0.8,2,18,10,9,26,14,2
357,lstm,0.1,0.3,5,47,4,16,38,42,2
358,mlp,0.0001,0.7,4,15,48,8,7,27,2
359,mlp,0.001,0.4,4,36,46,3,29,43,2
360,mlp,0.01,0.2,4,9,14,46,35,21,2
361,mlp,1e-05,0.1,2,49,43,5,25,16,3
362,lstm,0.01,0.7,1,3,38,36,26,35,3
363,mlp,0.01,0.0,4,40,6,33,3,33,2
364,lstm,0.0001,0.5,3,9,33,25,46,35,1
365,lstm,0.001,0.2,5,4,36,12,19,13,1
366,mlp,0.001,0.2,1,11,7,50,32,30,2
367,lstm,0.0001,0.8,4,42,41,25,41,5,2
368,mlp,0.1,0.4,3,38,8,36,43,10,1
369,mlp,0.1,0.8,3,36,9,29,10,21,1
370,lstm,0.0001,0.0,5,34,49,19,36,38,3
371,mlp,0.001,0.0,5,30,33,42,47,9,3
372,mlp,0.01,0.1,4,24,27,35,12,33,1
373,mlp,0.0001,0.7,4,14,46,31,22,5,3
374,lstm,0.0001,0.1,3,12,23,25,21,24,2
375,lstm,0.001,0.6,2,49,20,2,14,37,1
376,lstm,0.01,0.5,2,21,45,8,38,26,2
377,lstm,1e-05,0.3,3,17,8,11,44,28,1
378,lstm,1e-05,0.1,2,20,32,30,50,20,2
379,lstm,0.001,0.9,3,23,49,22,12,50,2
380,lstm,0.001,0.5,3,35,32,44,9,33,1
381,lstm,1e-05,0.1,3,24,30,35,29,9,2
382,lstm,1e-05,0.0,5,11,28,47,10,47,3
383,lstm,0.001,0.7,1,3,32,48,37,7,3
384,lstm,1e-05,0.6,3,18,36,49,45,17,2
385,mlp,1e-05,0.8,5,2,16,35,31,46,2
386,mlp,0.0001,0.2,2,17,5,5,9,41,1
387,mlp,0.1,0.5,3,43,13,19,44,17,3
388,mlp,1e-05,0.8,4,2,3,18,17,8,3
389,lstm,0.1,0.2,2,42,27,18,13,42,1
390,mlp,0.001,0.2,5,35,34,38,29,37,3
391,lstm,0.01,0.4,1,30,43,9,11,27,1
392,lstm,0.001,0.3,3,7,15,26,14,36,1
393,lstm,0.001,0.3,4,38,11,23,34,3,1
394,mlp,0.0001,0.3,3,45,48,16,5,29,3
395,mlp,0.001,0.4,3,3,24,32,10,14,1
396,mlp,0.1,0.0,1,42,16,24,7,15,2
397,mlp,0.1,0.0,5,35,19,34,22,15,2
398,mlp,0.1,0.6,5,37,37,26,4,18,1
399,mlp,0.001,0.6,3,16,30,16,33,19,1
400,lstm,0.001,0.9,2,27,36,2,19,3,3
401,lstm,0.0001,0.5,2,13,33,41,50,20,2
402,lstm,0.01,0.3,4,15,49,15,22,49,2
403,lstm,0.0001,0.6,2,42,32,49,48,26,2
404,lstm,0.01,0.7,5,14,45,40,41,33,3
405,mlp,0.0001,0.3,4,3,47,43,24,18,1
406,lstm,0.001,0.2,1,50,7,23,11,2,3
407,lstm,1e-05,0.3,1,19,17,22,26,6,1
408,lstm,1e-05,0.9,2,15,32,32,44,24,1
409,lstm,0.01,0.6,1,10,14,45,20,8,2
410,lstm,1e-05,0.5,2,40,11,41,20,2,3
411,mlp,0.0001,0.8,5,5,9,15,11,24,3
412,lstm,0.0001,0.4,1,20,33,10,48,34,1
413,mlp,1e-05,0.0,2,16,45,14,26,37,3
414,lstm,0.0001,0.2,4,41,32,38,43,13,3
415,lstm,1e-05,0.9,5,23,42,3,12,28,2
416,lstm,1e-05,0.0,1,46,2,19,50,25,2
417,lstm,0.01,0.6,2,15,4,29,5,29,2
418,lstm,0.01,0.6,2,47,27,8,25,26,2
419,mlp,0.1,0.3,5,4,24,41,32,8,1
420,mlp,0.001,0.2,2,32,48,33,48,30,1
421,lstm,0.01,0.4,5,28,18,26,12,35,2
422,lstm,0.0001,0.4,2,30,37,12,15,36,2
423,lstm,1e-05,0.9,5,38,8,23,10,7,3
424,lstm,0.001,0.1,5,2,37,13,40,27,2
425,mlp,0.001,0.1,5,6,29,37,29,18,2
426,lstm,0.0001,0.5,5,42,35,24,36,30,2
427,lstm,0.0001,0.9,1,14,47,38,40,30,3
428,lstm,0.1,0.9,2,14,14,13,10,50,1
429,mlp,0.0001,0.4,4,2,24,19,3,14,1
430,mlp,0.1,0.5,2,3,22,18,21,30,3
431,lstm,0.001,0.3,5,3,28,49,43,34,3
432,lstm,1e-05,0.8,1,37,35,4,49,24,3
433,mlp,0.0001,0.9,3,13,43,20,33,21,2
434,lstm,0.0001,0.6,4,46,46,25,24,49,1
435,lstm,0.01,0.2,5,12,18,17,6,43,1
436,lstm,1e-05,0.4,2,37,46,48,10,48,1
437,lstm,1e-05,0.1,1,33,46,18,21,49,1
438,lstm,0.001,0.5,2,19,44,50,46,42,2
439,lstm,1e-05,0.5,2,43,26,50,35,21,1
440,mlp,0.1,0.6,2,43,22,39,48,37,2
441,mlp,1e-05,0.4,5,32,4,30,5,15,2
442,mlp,0.1,0.8,3,44,42,5,36,33,1
443,mlp,0.0001,0.0,2,27,15,37,13,8,2
444,mlp,1e-05,0.5,2,43,34,44,48,24,1
445,lstm,0.1,0.9,5,6,25,15,34,23,3
446,lstm,0.1,0.8,1,35,25,7,41,50,3
447,lstm,0.0001,0.4,2,36,25,9,45,34,1
448,mlp,1e-05,0.7,5,3,24,32,46,21,3
449,mlp,0.01,0.8,2,50,39,29,37,16,3
