,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
136,mlp,1e-05,0.4,3,14,41,8,49,41,3
137,lstm,0.01,0.9,5,28,18,47,30,33,1
138,lstm,0.1,0.6,1,50,15,6,27,12,1
139,mlp,1e-05,0.4,2,33,5,40,17,13,2
140,lstm,0.1,0.6,5,37,38,17,12,43,2
141,lstm,0.001,0.5,3,37,45,40,16,32,2
142,mlp,0.01,0.2,2,9,6,33,42,47,3
143,lstm,0.01,0.8,2,12,40,16,24,48,3
144,lstm,0.0001,0.0,1,33,33,40,31,28,3
145,lstm,0.1,0.7,2,7,12,4,10,11,1
146,lstm,0.001,0.2,4,10,28,43,38,27,2
147,lstm,0.1,0.0,4,5,46,42,42,19,3
148,mlp,0.0001,0.6,2,37,18,3,29,28,3
149,mlp,0.01,0.1,1,2,48,14,48,3,3
150,lstm,0.01,0.7,3,25,11,33,34,37,3
151,lstm,0.1,0.6,5,5,29,6,40,21,3
152,lstm,0.001,0.9,4,2,5,41,38,43,1
153,mlp,0.1,0.0,3,7,21,35,42,20,3
154,lstm,0.1,0.7,2,24,49,50,17,37,1
155,lstm,1e-05,0.0,4,42,35,48,26,3,1
156,mlp,1e-05,0.5,4,6,13,24,23,36,2
157,mlp,0.001,0.9,5,23,3,25,20,22,2
158,lstm,1e-05,0.8,3,30,10,10,40,22,2
159,mlp,1e-05,0.6,3,27,13,27,39,16,3
160,lstm,0.0001,0.1,4,13,16,3,12,37,3
161,mlp,0.0001,0.6,3,14,17,49,17,15,1
162,lstm,0.1,0.3,1,22,47,23,39,17,1
163,lstm,0.01,0.9,3,31,19,17,34,18,3
164,lstm,0.01,0.3,5,3,3,33,40,47,2
165,mlp,0.1,0.6,4,3,46,12,19,43,3
166,lstm,1e-05,0.9,3,38,34,36,25,41,3
167,lstm,0.01,0.6,4,10,20,38,27,47,2
168,lstm,0.01,0.6,3,24,25,20,40,40,3
169,mlp,1e-05,0.1,4,44,26,4,34,43,3
170,lstm,0.001,0.5,3,20,8,11,26,25,2
171,mlp,0.1,0.4,4,20,48,43,48,14,1
172,mlp,0.01,0.4,1,30,3,48,11,16,3
173,mlp,0.0001,0.9,2,38,43,33,14,48,3
174,lstm,0.01,0.7,1,13,21,14,41,45,2
175,lstm,0.1,0.4,3,4,5,22,15,2,1
176,lstm,0.001,0.3,4,14,15,45,22,40,3
177,mlp,0.01,0.2,4,45,47,18,12,39,1
178,lstm,0.001,0.2,3,14,18,8,45,17,3
179,lstm,1e-05,0.9,1,8,44,9,44,7,2
180,mlp,1e-05,0.1,5,7,24,6,47,19,3
181,mlp,0.001,0.8,1,29,41,33,3,45,3
182,mlp,1e-05,0.0,4,40,49,31,25,48,2
183,mlp,0.01,0.6,3,25,48,24,38,49,2
184,lstm,1e-05,0.7,5,37,49,46,15,29,2
185,mlp,0.001,0.8,1,30,9,39,30,26,3
186,lstm,0.01,0.9,3,47,11,4,46,17,2
187,mlp,0.0001,0.2,2,34,31,33,2,32,1
188,mlp,0.01,0.3,3,30,41,47,47,37,1
189,lstm,0.01,0.8,3,47,21,20,46,42,3
190,lstm,0.1,0.0,1,32,46,9,44,47,3
191,lstm,0.0001,0.5,2,30,7,17,34,25,1
192,lstm,1e-05,0.0,4,18,25,29,8,34,1
193,lstm,0.0001,0.0,2,38,12,22,3,21,1
194,lstm,0.01,0.1,5,18,23,16,3,27,2
195,mlp,0.1,0.5,4,29,10,16,13,12,2
196,mlp,0.0001,0.7,5,49,20,3,46,32,1
197,lstm,0.1,0.2,4,2,40,2,8,49,2
198,lstm,0.0001,0.6,5,13,17,34,3,2,1
199,mlp,0.1,0.6,4,5,15,48,18,30,2
200,lstm,1e-05,0.2,1,46,33,21,17,49,2
201,lstm,0.1,0.2,1,12,23,46,42,19,1
202,lstm,1e-05,0.5,3,28,14,3,15,30,1
203,lstm,0.01,0.7,1,13,34,49,4,19,2
204,lstm,0.01,0.8,4,9,45,50,6,3,2
205,mlp,1e-05,0.4,5,6,18,28,5,26,2
206,lstm,0.01,0.1,1,30,8,3,23,27,3
207,lstm,0.01,0.8,2,6,34,29,29,47,2
208,mlp,1e-05,0.0,2,40,40,28,41,32,3
209,mlp,0.001,0.3,2,11,35,32,20,19,3
210,mlp,0.0001,0.5,4,8,38,40,5,34,2
211,lstm,0.01,0.6,1,27,18,2,24,45,1
212,lstm,0.01,0.0,1,35,21,39,36,29,3
213,mlp,0.01,0.8,3,23,27,43,44,17,2
214,lstm,0.001,0.8,1,23,31,18,38,47,2
215,mlp,0.1,0.4,2,3,30,7,28,16,2
216,lstm,0.01,0.2,2,32,7,2,16,19,1
217,mlp,0.01,0.6,4,45,26,40,22,27,3
218,mlp,1e-05,0.5,4,41,12,46,45,23,2
219,mlp,0.001,0.6,3,16,11,15,24,36,2
220,mlp,1e-05,0.0,3,5,32,16,14,42,1
221,lstm,0.01,0.0,1,32,8,17,32,21,1
222,lstm,1e-05,0.1,3,21,47,19,40,11,1
223,mlp,0.0001,0.9,4,28,18,15,17,35,2
224,lstm,1e-05,0.6,5,33,46,11,4,15,2
225,lstm,0.1,0.7,3,11,48,29,34,23,3
226,mlp,1e-05,0.8,2,7,12,42,43,7,3
227,mlp,0.001,0.7,3,15,3,35,30,15,3
228,mlp,0.01,0.3,4,14,44,46,29,29,2
229,lstm,0.0001,0.7,2,33,6,43,14,46,2
230,mlp,0.01,0.9,1,2,19,34,14,17,2
231,lstm,0.001,0.7,5,24,50,8,6,2,3
232,mlp,1e-05,0.8,2,26,32,35,38,2,1
233,mlp,0.001,0.1,5,9,29,15,26,29,2
234,mlp,0.1,0.9,2,44,34,11,29,41,2
235,mlp,0.01,0.7,1,21,10,36,7,44,3
236,mlp,0.001,0.2,5,23,28,17,18,47,3
237,mlp,0.001,0.4,5,49,11,40,20,21,2
238,mlp,0.0001,0.1,3,37,8,31,28,8,1
239,lstm,0.01,0.8,1,30,45,11,15,27,3
240,mlp,0.0001,0.0,2,12,14,35,41,6,3
241,mlp,1e-05,0.5,1,3,40,9,16,19,2
242,lstm,0.0001,0.5,2,20,45,43,11,22,1
243,lstm,0.001,0.2,3,16,27,32,45,4,3
244,lstm,0.001,0.7,3,44,48,36,4,34,3
245,mlp,1e-05,0.9,2,22,28,32,25,32,3
246,lstm,0.1,0.0,2,28,12,6,24,33,2
247,lstm,0.001,0.7,4,34,47,11,32,49,2
248,lstm,0.1,0.0,1,33,15,21,8,3,1
249,lstm,1e-05,0.4,3,13,31,12,44,36,3
250,mlp,1e-05,0.0,2,49,38,31,29,33,1
251,mlp,0.0001,0.6,5,24,15,29,31,36,1
252,mlp,1e-05,0.4,1,28,29,8,5,44,2
253,lstm,0.0001,0.3,2,13,49,29,39,36,3
254,mlp,0.001,0.0,2,39,35,47,6,25,2
255,lstm,0.0001,0.7,5,6,34,16,9,43,3
256,lstm,0.1,0.5,2,42,37,40,19,4,3
257,mlp,1e-05,0.2,5,34,40,47,2,41,3
258,mlp,1e-05,0.5,1,28,24,32,36,48,2
259,lstm,0.1,0.2,1,17,30,6,21,9,3
260,mlp,0.001,0.2,5,47,20,11,12,25,1
261,lstm,0.0001,0.2,4,9,3,6,17,9,1
262,lstm,1e-05,0.5,2,33,24,7,21,21,1
263,lstm,0.0001,0.5,5,34,34,2,11,18,3
264,mlp,0.001,0.3,5,18,38,15,24,20,2
265,mlp,1e-05,0.8,4,30,23,17,11,36,2
266,lstm,0.1,0.9,3,42,38,3,13,2,3
267,mlp,0.001,0.6,3,20,46,13,9,31,1
268,mlp,1e-05,0.5,1,43,34,19,2,3,3
269,lstm,0.0001,0.4,5,38,13,46,43,26,2
270,lstm,1e-05,0.1,1,11,7,9,13,3,3
271,mlp,1e-05,0.0,5,48,29,50,26,23,2
272,lstm,0.01,0.6,2,40,50,15,7,32,1
273,mlp,0.1,0.1,1,22,30,33,41,27,2
274,lstm,0.1,0.2,2,18,24,7,2,21,3
275,mlp,0.0001,0.3,4,44,47,35,26,13,3
276,lstm,0.01,0.4,4,37,25,44,15,7,2
277,mlp,1e-05,0.7,4,44,23,38,43,15,2
278,mlp,0.001,0.9,4,46,3,37,11,9,2
279,lstm,1e-05,0.4,1,13,50,18,26,4,1
280,mlp,0.0001,0.2,2,9,28,10,10,38,3
281,lstm,1e-05,0.2,4,35,30,38,13,3,1
282,lstm,0.0001,0.1,1,36,45,12,12,38,1
283,lstm,1e-05,0.2,5,5,42,20,38,21,2
284,mlp,0.001,0.1,3,41,4,32,16,4,3
285,mlp,1e-05,0.4,4,36,41,40,37,26,1
286,mlp,0.001,0.3,1,45,39,44,49,39,1
287,lstm,0.1,0.8,2,19,23,28,28,34,2
288,lstm,0.1,0.0,5,31,4,7,11,34,2
289,lstm,0.1,0.8,2,31,39,4,8,27,2
290,mlp,0.001,0.5,3,2,30,8,28,45,1
291,mlp,0.001,0.8,5,42,29,4,40,2,2
292,lstm,1e-05,0.5,5,21,9,41,6,31,3
293,mlp,0.01,0.0,2,26,37,39,27,13,2
294,mlp,0.0001,0.8,5,10,48,12,30,36,3
295,lstm,0.0001,0.2,4,17,24,38,12,17,1
296,lstm,0.01,0.2,3,44,10,28,10,33,2
297,mlp,0.001,0.5,3,48,18,4,48,2,1
298,lstm,1e-05,0.2,5,8,6,38,13,7,2
299,lstm,1e-05,0.0,5,35,27,50,18,24,3
300,mlp,0.01,0.6,1,12,13,3,2,14,1
301,lstm,1e-05,0.9,5,2,43,42,3,20,1
302,mlp,0.0001,0.3,3,47,4,23,4,8,2
303,mlp,1e-05,0.5,5,20,31,41,37,31,2
304,mlp,0.0001,0.8,3,29,34,2,23,33,1
305,mlp,0.001,0.7,2,20,19,29,6,17,1
306,mlp,0.001,0.5,1,21,37,37,13,22,2
307,lstm,0.01,0.6,5,19,10,8,42,24,3
308,lstm,0.01,0.4,4,10,8,4,45,17,2
309,mlp,0.1,0.2,5,41,17,19,5,24,2
310,mlp,0.001,0.6,3,9,39,41,47,39,3
311,lstm,0.0001,0.9,5,25,33,15,27,15,3
312,mlp,0.0001,0.1,1,2,14,34,29,36,3
313,mlp,0.001,0.3,4,13,22,29,45,46,1
314,mlp,0.01,0.5,5,39,43,9,32,3,2
315,lstm,0.0001,0.6,5,31,30,18,26,37,2
316,mlp,0.1,0.2,3,48,41,46,43,19,2
317,lstm,0.0001,0.9,2,17,28,25,48,30,2
318,lstm,0.0001,0.6,5,43,40,2,22,9,3
319,lstm,0.01,0.6,1,22,47,40,23,26,2
320,mlp,1e-05,0.5,2,48,16,11,37,6,3
321,lstm,0.01,0.7,3,39,5,10,38,6,2
322,mlp,0.001,0.8,2,3,16,11,11,36,2
323,lstm,0.1,0.3,1,32,25,44,9,20,2
324,lstm,0.01,0.6,3,27,36,28,7,21,3
325,mlp,0.001,0.6,2,31,45,31,35,47,1
326,mlp,0.0001,0.9,2,25,5,48,4,43,1
327,mlp,1e-05,0.3,1,14,38,43,44,28,2
328,mlp,0.1,0.9,5,47,40,37,33,33,2
329,mlp,0.1,0.3,5,27,29,24,30,33,1
330,lstm,1e-05,0.6,2,36,7,19,9,36,2
331,lstm,0.01,0.4,4,16,29,14,38,48,1
332,mlp,1e-05,0.2,4,17,42,28,16,13,3
333,mlp,0.1,0.4,5,15,26,45,23,38,2
334,mlp,1e-05,0.1,1,35,7,44,26,22,2
335,lstm,1e-05,0.7,3,38,31,32,17,47,2
336,lstm,0.1,0.9,5,6,28,3,11,40,2
337,mlp,1e-05,0.0,4,24,16,30,28,46,3
338,mlp,0.01,0.4,2,35,13,36,10,25,2
339,lstm,1e-05,0.6,5,7,44,28,2,49,2
340,mlp,0.1,0.5,5,36,6,18,7,29,3
341,mlp,0.01,0.4,3,4,15,45,42,34,3
342,lstm,0.001,0.0,4,6,41,12,31,6,2
343,mlp,0.1,0.1,4,30,49,16,39,24,2
344,lstm,0.001,0.0,5,5,26,21,29,27,2
345,lstm,0.0001,0.4,1,36,37,32,40,41,3
346,lstm,0.1,0.7,2,31,7,3,21,41,3
347,lstm,0.0001,0.6,1,39,24,11,31,42,3
348,lstm,0.1,0.4,1,28,7,12,36,40,3
349,lstm,0.001,0.0,3,32,45,17,11,27,1
350,mlp,0.001,0.2,1,26,14,21,38,22,3
351,lstm,0.001,0.0,1,43,38,46,22,6,3
352,lstm,0.01,0.8,2,26,3,14,16,34,2
353,lstm,1e-05,0.4,5,23,35,9,36,19,3
354,mlp,0.01,0.5,5,29,21,46,40,40,2
355,mlp,1e-05,0.0,4,25,6,50,38,48,3
356,lstm,0.1,0.8,5,42,14,42,27,11,3
357,mlp,1e-05,0.0,4,38,3,22,45,26,1
358,lstm,0.1,0.4,1,29,9,50,34,6,3
359,mlp,0.0001,0.3,2,7,12,26,31,36,1
360,mlp,0.0001,0.5,5,24,42,15,13,11,2
361,lstm,1e-05,0.0,2,30,40,41,42,14,2
362,mlp,0.01,0.0,2,31,49,13,3,23,1
363,mlp,0.0001,0.2,5,41,47,23,17,25,2
364,lstm,0.1,0.3,4,41,47,18,46,6,2
365,lstm,0.01,0.5,1,13,49,24,12,41,3
366,lstm,0.01,0.8,2,22,24,23,48,2,1
367,lstm,0.0001,0.0,2,34,38,28,34,25,1
368,mlp,0.001,0.2,3,19,33,48,7,36,1
369,mlp,1e-05,0.8,5,36,5,45,2,37,3
370,lstm,0.1,0.1,2,33,33,31,34,39,1
371,lstm,1e-05,0.5,5,8,48,38,35,3,1
372,lstm,0.1,0.3,5,43,4,45,44,43,2
373,mlp,0.0001,0.9,2,29,22,41,33,23,1
374,lstm,0.001,0.9,5,7,25,21,48,13,2
375,lstm,0.01,0.6,4,19,26,47,28,26,1
376,mlp,0.1,0.4,5,32,8,35,46,40,3
377,mlp,0.1,0.6,5,30,38,13,23,11,1
378,lstm,0.0001,0.7,4,21,10,12,2,45,1
379,mlp,0.0001,0.4,5,18,13,26,36,11,1
380,lstm,1e-05,0.2,1,13,22,39,3,6,3
381,lstm,0.01,0.8,1,47,45,18,18,40,1
382,lstm,0.0001,0.0,3,36,42,18,21,10,3
383,mlp,0.1,0.5,3,49,14,37,14,11,2
384,mlp,0.01,0.3,2,38,11,48,15,34,1
385,lstm,0.01,0.2,3,23,33,5,27,45,2
386,lstm,0.001,0.9,4,43,28,43,5,27,1
387,mlp,0.1,0.5,3,5,44,2,24,48,2
388,lstm,0.01,0.9,1,30,32,16,37,30,2
389,mlp,0.01,0.8,4,37,44,32,37,18,2
390,lstm,0.001,0.8,5,33,21,17,12,21,3
391,mlp,0.001,0.9,1,46,23,41,34,13,2
392,mlp,0.0001,0.2,5,7,22,47,33,13,3
393,lstm,0.1,0.8,5,7,15,33,36,5,1
394,mlp,0.001,0.8,5,31,4,14,45,31,2
395,mlp,0.1,0.0,3,31,12,25,14,19,2
396,mlp,0.0001,0.2,2,40,28,41,35,47,2
397,mlp,0.01,0.8,3,20,49,42,36,28,2
398,mlp,1e-05,0.5,3,7,48,50,16,22,2
399,lstm,1e-05,0.4,5,6,48,34,4,39,1
400,lstm,0.001,0.2,2,40,20,25,24,5,1
401,lstm,1e-05,0.8,1,24,32,6,46,28,1
402,mlp,0.1,0.5,3,23,31,27,13,34,1
403,mlp,0.001,0.8,1,47,49,32,12,29,1
404,mlp,1e-05,0.1,4,21,44,2,39,11,3
405,lstm,0.001,0.7,2,2,10,11,23,40,1
406,lstm,1e-05,0.0,2,20,33,35,8,2,1
407,lstm,0.001,0.1,4,17,43,33,7,33,3
408,mlp,0.1,0.1,3,9,45,25,3,41,2
409,lstm,0.0001,0.5,1,29,8,16,47,6,3
410,lstm,0.01,0.6,2,25,10,9,7,48,2
411,mlp,0.001,0.5,3,38,10,39,48,38,3
412,lstm,0.01,0.4,3,38,33,49,13,3,2
413,mlp,1e-05,0.5,1,13,48,44,11,8,1
414,mlp,1e-05,0.4,2,41,49,37,17,27,2
415,mlp,0.1,0.8,4,49,25,34,34,46,3
416,lstm,0.1,0.7,5,48,48,20,9,36,1
417,mlp,1e-05,0.1,3,41,12,45,34,19,3
418,lstm,0.001,0.3,2,44,23,5,7,41,2
419,mlp,0.1,0.8,4,26,12,8,5,27,1
420,lstm,1e-05,0.6,1,21,14,10,50,23,2
421,mlp,0.1,0.0,5,50,3,27,40,38,3
422,lstm,0.01,0.9,1,45,14,26,32,20,2
423,lstm,0.1,0.0,5,14,6,13,36,12,2
424,mlp,0.0001,0.4,1,33,2,6,42,41,2
425,lstm,0.01,0.1,5,45,39,23,21,15,2
426,lstm,0.0001,0.2,4,37,48,28,14,44,1
427,mlp,1e-05,0.9,1,12,9,40,42,33,1
428,mlp,0.1,0.0,1,11,14,44,41,36,2
429,mlp,0.0001,0.0,3,12,9,44,32,11,2
430,mlp,1e-05,0.1,4,2,42,28,36,16,2
431,lstm,0.1,0.3,2,38,38,6,14,45,2
432,mlp,0.01,0.7,2,10,8,33,30,23,3
433,mlp,0.1,0.8,1,40,32,18,4,11,3
434,lstm,0.01,0.5,4,28,18,2,7,28,1
435,mlp,1e-05,0.1,1,3,8,10,32,42,1
436,mlp,0.01,0.8,3,31,29,39,35,12,3
437,mlp,1e-05,0.6,5,16,20,8,15,23,1
438,lstm,0.1,0.7,2,34,48,33,49,32,2
439,mlp,0.1,0.8,2,8,41,43,9,4,1
440,lstm,1e-05,0.8,4,48,8,26,15,32,3
441,mlp,0.001,0.7,2,29,46,47,37,9,2
442,mlp,0.01,0.0,4,31,22,8,42,33,1
443,lstm,0.0001,0.0,3,23,46,16,36,43,3
444,lstm,0.1,0.0,5,11,48,50,12,7,2
445,lstm,1e-05,0.6,4,24,17,25,4,46,2
446,mlp,0.001,0.0,3,13,14,49,22,13,3
447,mlp,0.1,0.5,1,44,37,3,45,24,2
448,lstm,1e-05,0.9,2,49,41,44,36,9,3
449,mlp,0.001,0.6,2,38,49,10,28,5,2
