,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
47,mlp,0.01,0.9,2,6,50,31,19,11,2
48,mlp,0.1,0.0,4,15,22,26,30,43,3
49,lstm,1e-05,0.0,3,49,18,31,2,17,2
50,mlp,0.0001,0.0,1,36,11,37,45,26,3
51,mlp,1e-05,0.2,1,13,27,40,42,7,5
52,mlp,0.0001,0.5,2,22,30,18,25,10,2
53,lstm,0.1,0.5,3,2,38,11,18,4,3
54,mlp,0.01,0.3,2,35,5,7,21,48,5
55,lstm,0.0001,0.7,1,35,11,45,8,50,3
56,lstm,0.01,0.0,4,7,10,25,38,25,2
57,lstm,0.1,0.0,1,28,24,15,47,40,2
58,lstm,0.0001,0.8,2,3,22,24,17,9,4
59,lstm,0.1,0.3,2,48,39,7,31,33,3
60,mlp,0.001,0.7,3,2,12,44,47,10,5
61,mlp,0.01,0.2,2,48,6,20,31,17,2
62,lstm,0.01,0.2,4,50,42,26,14,21,5
63,lstm,0.01,0.3,1,35,36,17,7,40,3
64,lstm,0.001,0.5,5,43,16,49,12,10,4
65,mlp,0.01,0.0,2,33,38,29,48,38,5
66,mlp,0.1,0.9,4,25,19,46,37,48,4
67,mlp,0.001,0.8,3,48,32,21,44,12,3
68,lstm,1e-05,0.3,4,38,38,26,29,46,3
69,lstm,0.0001,0.8,5,39,6,3,35,37,3
70,mlp,0.0001,0.7,4,25,19,37,17,19,2
71,lstm,0.001,0.8,4,11,37,50,27,47,2
72,mlp,0.0001,0.0,3,43,16,24,47,20,4
73,mlp,0.001,0.5,2,38,27,32,4,24,3
74,lstm,1e-05,0.8,2,15,30,26,39,35,2
75,mlp,0.01,0.3,5,39,6,2,39,17,2
76,lstm,1e-05,0.9,1,4,20,38,38,20,3
77,mlp,0.001,0.0,1,28,15,47,47,16,4
78,lstm,0.01,0.5,5,22,43,12,7,33,4
79,lstm,1e-05,0.5,3,45,25,48,45,13,3
80,mlp,0.1,0.5,4,7,11,18,10,15,5
81,lstm,0.1,0.2,3,6,15,13,25,14,4
82,lstm,0.0001,0.7,2,49,23,49,41,28,5
83,lstm,0.001,0.0,5,22,3,4,26,17,4
84,lstm,0.001,0.1,5,36,3,35,3,34,4
85,lstm,1e-05,0.6,1,40,14,44,30,35,5
86,mlp,0.001,0.3,2,32,29,29,33,2,4
87,mlp,0.01,0.2,1,27,46,46,30,18,4
88,lstm,1e-05,0.5,1,9,32,32,36,43,4
89,lstm,0.1,0.6,5,14,6,20,36,42,2
90,lstm,0.0001,0.6,5,19,19,13,26,27,2
91,mlp,0.001,0.4,4,17,14,36,18,50,3
92,mlp,0.001,0.6,1,18,26,11,7,20,4
93,mlp,0.0001,0.6,4,20,11,31,10,41,3
94,lstm,0.1,0.3,2,23,40,48,13,7,2
95,lstm,0.0001,0.7,3,38,2,12,20,14,4
96,lstm,1e-05,0.2,5,18,7,2,44,34,3
97,lstm,0.1,0.2,5,18,37,28,47,48,4
98,lstm,1e-05,0.7,5,22,13,16,47,38,2
99,lstm,0.1,0.0,3,34,25,26,17,12,2
100,lstm,0.01,0.1,1,16,37,36,8,36,4
101,lstm,1e-05,0.2,3,26,12,12,7,33,2
102,lstm,1e-05,0.5,2,29,27,31,23,16,2
103,lstm,0.001,0.6,2,49,17,32,40,37,5
104,lstm,0.0001,0.3,2,29,25,48,41,35,2
105,mlp,0.01,0.9,5,2,15,37,30,29,2
106,lstm,0.001,0.9,4,38,6,44,4,19,2
107,mlp,0.001,0.8,4,25,11,29,11,50,2
108,lstm,1e-05,0.6,2,18,11,45,31,14,3
109,lstm,0.01,0.7,3,38,39,15,34,28,5
110,mlp,0.0001,0.5,4,42,39,50,19,32,5
111,mlp,0.1,0.9,1,7,29,30,36,20,5
112,lstm,0.001,0.5,1,35,29,10,33,47,2
113,lstm,0.0001,0.1,3,45,17,3,26,17,2
114,mlp,0.01,0.5,5,23,43,31,44,3,4
115,lstm,0.1,0.5,2,45,29,39,12,35,2
116,mlp,0.001,0.0,3,39,36,11,40,32,3
117,lstm,1e-05,0.8,2,19,4,33,32,11,4
118,mlp,0.1,0.7,1,50,50,10,3,24,4
119,lstm,0.0001,0.8,4,16,32,17,26,19,5
120,lstm,1e-05,0.5,3,12,30,39,7,17,4
121,mlp,0.001,0.5,2,27,16,22,48,42,5
122,lstm,0.0001,0.5,2,20,46,38,10,10,5
123,mlp,1e-05,0.3,5,45,13,31,45,46,5
124,lstm,0.1,0.4,1,4,39,4,2,44,3
125,mlp,0.0001,0.0,2,30,3,43,9,46,2
126,mlp,0.0001,0.0,2,46,28,43,35,34,2
127,lstm,1e-05,0.6,1,3,18,33,43,32,2
128,lstm,0.0001,0.3,3,13,21,17,40,45,3
129,mlp,1e-05,0.2,5,44,10,49,40,48,5
130,lstm,0.1,0.6,1,46,48,21,2,32,4
131,lstm,0.0001,0.5,2,13,17,33,8,41,2
132,mlp,1e-05,0.0,5,7,32,25,25,38,4
133,lstm,0.001,0.1,1,37,37,22,42,36,5
134,lstm,1e-05,0.0,1,21,19,21,17,32,3
135,lstm,0.001,0.6,3,31,25,13,44,33,4
136,lstm,0.1,0.2,5,49,16,32,33,20,2
137,lstm,0.0001,0.9,1,48,50,23,33,23,5
138,mlp,0.0001,0.7,1,18,23,13,32,19,3
139,mlp,1e-05,0.2,4,18,32,13,29,49,2
140,lstm,0.001,0.1,4,38,29,41,29,49,5
141,lstm,0.0001,0.1,2,43,36,25,46,22,5
142,mlp,0.0001,0.6,4,35,4,45,28,12,5
143,mlp,1e-05,0.3,5,2,36,48,43,48,4
144,mlp,1e-05,0.8,1,32,13,21,35,9,4
145,mlp,0.001,0.3,3,10,14,31,41,8,3
146,lstm,0.001,0.5,5,20,42,20,50,30,2
147,mlp,0.01,0.2,3,8,29,32,39,46,3
148,lstm,0.1,0.1,3,11,3,41,13,23,4
149,mlp,0.1,0.9,2,12,14,33,46,28,4
150,lstm,0.1,0.4,2,27,49,22,46,35,3
151,mlp,0.1,0.7,1,10,36,12,3,2,4
152,lstm,0.01,0.2,3,40,14,3,22,46,2
153,lstm,0.0001,0.8,1,49,24,38,7,19,2
154,lstm,0.0001,0.7,5,50,50,13,22,26,2
155,mlp,0.0001,0.9,1,20,48,2,36,20,4
156,mlp,0.01,0.5,4,43,46,50,30,23,2
157,mlp,0.01,0.8,3,28,9,45,43,2,3
158,mlp,0.01,0.2,2,38,25,28,19,47,5
159,mlp,0.1,0.3,1,35,17,29,46,28,5
160,lstm,0.01,0.2,3,27,29,46,13,49,4
161,lstm,0.0001,0.5,1,26,20,15,33,17,4
162,lstm,0.001,0.4,2,47,47,22,34,45,4
163,mlp,0.1,0.5,5,37,31,4,5,13,5
164,mlp,0.0001,0.9,4,39,50,8,6,23,4
165,mlp,0.01,0.8,1,17,41,43,43,45,4
166,mlp,1e-05,0.6,4,23,29,23,2,27,2
167,mlp,0.01,0.0,2,29,10,48,10,4,4
168,lstm,0.01,0.9,5,17,24,40,30,2,4
169,mlp,1e-05,0.1,1,46,30,21,23,36,5
170,mlp,0.1,0.4,1,26,29,41,7,28,5
171,lstm,0.0001,0.0,5,34,30,29,38,31,5
172,lstm,1e-05,0.1,2,27,45,22,4,50,5
173,mlp,0.001,0.0,2,23,41,10,41,14,5
174,mlp,1e-05,0.2,5,4,4,18,34,40,4
175,lstm,0.1,0.2,4,48,2,29,43,31,2
176,lstm,0.0001,0.0,2,38,15,19,30,31,3
177,lstm,0.01,0.3,1,28,8,9,26,7,3
178,mlp,0.001,0.1,4,45,13,19,32,21,2
179,lstm,0.001,0.7,1,28,43,50,23,34,2
180,lstm,0.1,0.3,3,44,47,36,50,33,3
181,lstm,0.0001,0.7,2,44,3,40,42,22,5
182,lstm,0.1,0.0,2,28,10,18,8,7,4
183,mlp,1e-05,0.6,3,7,33,20,46,4,2
184,lstm,1e-05,0.0,5,44,25,8,28,50,3
185,mlp,0.0001,0.9,2,28,32,9,48,30,4
186,mlp,0.0001,0.5,5,31,18,38,34,21,3
187,mlp,0.01,0.0,1,35,34,28,17,31,4
188,mlp,0.001,0.2,5,20,3,12,38,44,5
189,mlp,0.1,0.9,3,40,23,7,45,12,2
190,lstm,0.001,0.5,5,12,48,23,19,5,3
191,lstm,0.0001,0.3,5,37,17,20,43,23,2
192,lstm,0.1,0.6,5,8,32,16,22,36,4
193,mlp,1e-05,0.3,1,8,2,46,31,43,4
194,lstm,1e-05,0.8,3,41,9,32,7,24,4
195,lstm,1e-05,0.4,2,20,17,18,5,38,4
196,mlp,0.0001,0.0,4,48,38,38,22,33,3
197,lstm,1e-05,0.6,5,2,19,2,42,45,3
198,lstm,0.01,0.1,5,28,47,26,17,40,5
199,mlp,0.0001,0.1,2,14,32,45,25,41,2
200,lstm,0.01,0.0,3,31,8,5,28,22,4
201,lstm,0.1,0.8,3,16,37,40,35,41,3
202,lstm,0.001,0.9,1,34,4,3,34,41,2
203,lstm,1e-05,0.2,1,34,16,28,45,25,3
204,lstm,0.0001,0.0,1,46,38,43,28,47,5
205,lstm,0.01,0.7,2,5,25,38,4,13,3
206,lstm,0.001,0.9,5,45,36,48,20,6,3
207,mlp,0.01,0.3,5,40,8,26,4,32,3
208,lstm,0.1,0.1,5,45,45,25,45,14,2
209,mlp,0.001,0.8,1,7,38,33,38,8,3
210,mlp,1e-05,0.4,1,43,28,12,47,47,3
211,mlp,0.01,0.4,4,49,9,18,11,21,5
212,lstm,0.01,0.3,2,7,2,50,13,36,5
213,lstm,0.01,0.6,1,22,22,3,7,25,3
214,lstm,0.001,0.4,2,6,23,36,29,27,2
215,lstm,1e-05,0.0,1,13,11,36,14,24,4
216,lstm,0.1,0.3,2,13,33,16,45,5,4
217,mlp,0.0001,0.4,3,23,43,41,46,21,4
218,mlp,0.0001,0.3,4,16,6,32,4,41,5
219,lstm,0.1,0.4,1,26,46,30,8,27,4
220,mlp,0.001,0.3,5,43,40,42,27,43,2
221,mlp,0.001,0.7,3,44,30,24,7,31,5
222,lstm,1e-05,0.5,1,50,27,2,36,45,4
223,lstm,1e-05,0.3,4,33,17,24,22,36,2
224,lstm,0.1,0.6,3,27,41,26,31,47,3
225,mlp,0.01,0.7,4,49,24,40,46,21,3
226,lstm,1e-05,0.0,4,40,26,40,12,23,5
227,mlp,0.1,0.6,5,18,43,35,13,27,2
228,mlp,0.0001,0.8,1,31,24,25,24,17,2
229,mlp,0.01,0.7,5,15,30,11,22,47,2
230,lstm,0.001,0.7,3,50,37,31,17,3,3
231,lstm,0.0001,0.2,2,43,8,41,3,12,2
232,mlp,0.01,0.8,1,49,21,8,33,32,3
233,mlp,1e-05,0.3,1,19,20,38,24,25,3
234,lstm,1e-05,0.5,3,13,20,39,11,28,4
235,lstm,0.001,0.5,4,39,20,14,32,22,5
236,mlp,0.0001,0.3,5,33,49,6,40,5,3
237,lstm,0.1,0.5,1,50,37,47,26,20,4
238,lstm,1e-05,0.2,1,42,35,16,41,18,2
239,lstm,0.01,0.0,1,32,46,26,45,25,3
240,lstm,0.0001,0.8,1,21,14,19,33,9,3
241,lstm,0.01,0.8,4,21,7,18,2,31,3
242,lstm,0.001,0.6,1,36,3,35,7,44,5
243,lstm,1e-05,0.5,1,17,33,48,50,39,5
244,lstm,1e-05,0.2,4,7,25,6,30,9,3
245,lstm,0.1,0.1,4,11,6,47,24,48,2
246,lstm,0.0001,0.4,5,32,17,45,10,25,5
247,mlp,0.0001,0.9,5,7,8,38,46,27,3
248,mlp,1e-05,0.5,4,42,48,27,45,49,4
249,lstm,0.0001,0.3,2,8,15,27,31,39,3
250,mlp,0.1,0.4,4,35,27,8,2,47,3
251,lstm,0.001,0.3,5,42,39,5,6,12,3
252,mlp,0.01,0.7,3,30,28,23,29,29,5
253,mlp,0.1,0.5,1,31,27,20,17,18,2
254,lstm,0.0001,0.3,2,19,49,36,2,46,4
255,mlp,0.01,0.7,1,11,32,35,13,40,5
256,lstm,0.0001,0.2,1,20,12,33,15,13,2
257,mlp,0.0001,0.9,2,22,29,41,19,29,4
258,lstm,0.0001,0.2,4,28,27,16,3,49,4
259,mlp,0.1,0.8,5,32,4,29,11,43,3
260,lstm,1e-05,0.3,2,38,30,46,9,21,4
261,mlp,0.0001,0.8,1,32,9,50,48,31,2
262,lstm,0.1,0.1,3,46,20,50,27,46,3
263,mlp,0.1,0.9,4,41,41,49,32,16,4
264,mlp,0.01,0.8,3,29,10,48,34,39,2
265,mlp,0.1,0.1,4,9,36,10,19,23,2
266,lstm,0.01,0.8,5,29,38,11,21,26,5
267,mlp,0.001,0.0,5,27,10,35,39,14,5
268,mlp,0.0001,0.1,5,47,17,9,37,47,3
269,lstm,0.01,0.5,3,25,8,14,43,31,5
270,lstm,0.01,0.2,3,48,17,42,36,13,3
271,lstm,0.001,0.4,3,47,42,19,9,43,3
272,lstm,1e-05,0.9,1,38,11,6,5,35,2
273,lstm,0.0001,0.0,5,50,49,10,37,49,2
274,lstm,0.1,0.6,1,26,44,5,6,44,4
275,lstm,0.01,0.3,5,24,46,30,50,35,2
276,mlp,0.01,0.4,1,18,32,28,34,5,2
277,lstm,0.0001,0.9,2,16,3,47,6,15,4
278,mlp,0.01,0.1,3,3,5,25,24,41,5
279,mlp,0.001,0.9,2,47,14,50,46,33,5
280,mlp,0.0001,0.1,5,7,7,15,38,48,5
281,mlp,0.0001,0.2,4,20,45,2,41,26,2
282,mlp,0.01,0.4,2,28,12,15,8,30,4
283,mlp,0.1,0.0,2,10,19,30,24,7,4
284,mlp,0.1,0.1,2,14,25,49,48,4,2
285,lstm,1e-05,0.7,2,46,29,29,20,33,2
286,lstm,0.1,0.4,2,3,32,14,43,14,3
287,lstm,0.0001,0.8,3,48,19,25,17,49,3
288,mlp,0.0001,0.8,5,11,49,10,18,4,2
289,mlp,0.01,0.2,5,17,13,3,8,50,2
290,mlp,0.01,0.5,3,26,10,9,2,36,2
291,mlp,1e-05,0.6,5,12,42,15,22,19,2
292,lstm,0.0001,0.3,4,17,33,31,48,49,4
293,lstm,1e-05,0.5,3,20,28,26,19,5,5
294,mlp,0.1,0.5,2,11,20,22,38,25,2
295,lstm,0.0001,0.3,4,19,24,47,37,26,5
296,mlp,0.001,0.6,3,2,7,27,2,45,5
297,mlp,0.0001,0.3,1,36,25,49,23,47,4
298,mlp,0.0001,0.2,3,4,43,18,4,20,5
299,mlp,0.1,0.0,1,28,20,15,10,37,2
300,lstm,0.001,0.0,2,8,2,19,28,42,3
301,mlp,0.01,0.4,1,23,33,4,41,31,3
302,mlp,0.1,0.7,3,25,31,46,13,17,3
303,lstm,0.01,0.8,5,42,46,47,33,15,3
304,mlp,0.1,0.9,2,18,44,39,45,14,2
305,lstm,1e-05,0.8,4,9,8,23,49,22,3
306,mlp,1e-05,0.4,1,3,50,3,34,38,4
307,lstm,0.1,0.4,1,10,50,36,22,39,5
308,lstm,0.01,0.7,2,17,48,49,12,3,4
309,mlp,0.0001,0.9,1,17,7,18,23,17,4
310,mlp,1e-05,0.8,5,9,4,33,29,23,4
311,mlp,0.1,0.9,3,46,3,32,36,14,3
312,mlp,0.0001,0.3,2,49,34,13,10,6,2
313,mlp,0.0001,0.9,3,20,28,20,10,8,2
314,mlp,0.01,0.9,2,13,34,15,28,50,2
315,lstm,0.1,0.6,1,34,49,27,32,10,4
316,mlp,0.1,0.6,5,50,5,40,44,8,3
317,mlp,0.1,0.2,5,49,43,6,6,7,2
318,mlp,0.1,0.2,3,16,49,50,8,8,4
319,mlp,1e-05,0.8,2,15,10,4,38,7,2
320,lstm,0.0001,0.5,4,22,40,14,5,42,4
321,mlp,0.01,0.0,5,46,29,8,32,4,3
322,mlp,0.001,0.3,3,2,23,20,38,49,2
323,lstm,1e-05,0.5,5,26,44,5,15,12,2
324,mlp,0.01,0.4,5,10,9,23,29,41,2
325,lstm,0.0001,0.0,3,15,50,43,14,44,2
326,mlp,0.001,0.3,5,30,33,4,50,13,5
327,lstm,1e-05,0.6,3,4,44,50,47,30,4
328,mlp,0.1,0.6,4,21,40,12,43,19,4
329,lstm,1e-05,0.1,3,25,15,11,29,39,2
330,lstm,1e-05,0.5,5,27,43,36,34,39,4
331,mlp,0.01,0.4,4,23,10,28,41,34,2
332,lstm,0.0001,0.2,4,38,27,13,34,40,4
333,lstm,0.1,0.4,4,34,41,21,23,16,4
334,mlp,0.1,0.8,5,15,26,25,17,48,5
335,mlp,0.1,0.6,3,11,37,25,9,15,4
336,lstm,0.01,0.9,4,25,5,48,40,27,3
337,lstm,0.0001,0.5,5,40,45,48,26,47,3
338,mlp,0.01,0.7,3,43,5,29,47,8,5
339,mlp,0.01,0.4,5,21,17,38,41,50,5
340,lstm,0.01,0.6,2,6,46,35,3,22,4
341,mlp,0.1,0.9,2,26,18,7,20,5,3
342,mlp,0.0001,0.8,1,30,10,44,46,33,4
343,lstm,1e-05,0.6,5,25,21,39,4,37,2
344,lstm,0.1,0.7,1,42,43,9,48,35,5
345,lstm,0.001,0.6,4,7,40,45,37,9,2
346,lstm,0.001,0.9,2,42,46,6,9,38,2
347,mlp,0.0001,0.2,3,15,3,32,26,45,2
348,mlp,0.0001,0.1,4,12,28,46,45,32,4
349,mlp,1e-05,0.7,1,24,6,31,31,21,3
350,mlp,0.0001,0.6,1,47,24,34,22,23,3
351,mlp,0.0001,0.1,1,33,44,44,44,41,4
352,mlp,1e-05,0.5,1,50,45,11,28,36,5
353,mlp,0.01,0.8,3,14,5,18,15,32,2
354,mlp,0.01,0.2,4,30,12,50,32,11,3
355,mlp,0.001,0.3,5,42,21,46,35,5,5
356,mlp,0.1,0.5,2,28,49,37,39,21,2
357,lstm,0.0001,0.0,3,20,33,16,2,18,3
358,mlp,0.0001,0.5,2,22,22,38,50,37,2
359,mlp,0.001,0.3,3,11,44,28,4,10,4
360,lstm,0.001,0.5,2,12,41,40,3,7,4
361,lstm,1e-05,0.8,4,46,16,11,48,17,5
362,lstm,0.01,0.1,2,11,24,33,44,35,5
363,mlp,0.01,0.1,5,50,5,34,35,23,3
364,mlp,0.0001,0.1,1,40,50,26,8,5,2
365,lstm,0.1,0.5,4,40,41,15,49,26,5
366,lstm,1e-05,0.9,4,26,11,13,49,14,3
367,lstm,0.1,0.0,1,37,2,22,21,9,2
368,lstm,0.01,0.8,4,46,39,26,23,15,4
369,mlp,0.001,0.7,3,25,41,14,11,20,2
370,lstm,0.1,0.1,1,25,10,32,26,32,3
371,lstm,0.01,0.6,2,4,8,37,50,27,5
372,lstm,0.001,0.8,1,4,10,28,50,26,2
373,mlp,0.001,0.8,2,34,29,50,30,40,3
374,mlp,0.01,0.8,1,27,4,6,18,37,3
375,lstm,1e-05,0.2,2,37,3,15,38,7,4
376,lstm,0.0001,0.8,5,19,25,37,4,41,2
377,mlp,1e-05,0.0,4,34,39,44,45,2,2
378,lstm,0.01,0.9,3,41,25,25,8,48,2
379,mlp,0.0001,0.3,5,8,27,21,10,28,3
380,lstm,0.1,0.4,1,27,41,26,2,2,3
381,lstm,0.1,0.1,5,15,18,45,48,14,3
382,lstm,0.001,0.2,3,42,34,38,41,2,2
383,lstm,0.0001,0.8,5,42,23,16,14,32,3
384,lstm,0.01,0.9,3,19,5,46,29,8,3
385,mlp,0.1,0.6,5,13,31,18,20,30,4
386,lstm,0.0001,0.6,5,3,42,44,22,22,2
387,mlp,1e-05,0.3,4,27,11,32,24,17,4
388,lstm,0.001,0.7,5,8,31,37,11,8,4
389,lstm,0.1,0.3,5,19,28,45,28,29,2
390,lstm,1e-05,0.2,4,6,36,17,33,41,4
391,mlp,0.001,0.6,2,33,47,36,12,5,3
392,lstm,0.1,0.9,2,40,12,13,18,39,3
393,mlp,0.001,0.9,3,47,4,10,7,26,4
394,lstm,0.01,0.8,4,47,41,48,42,8,2
395,lstm,0.1,0.8,4,23,34,29,23,44,3
396,lstm,0.1,0.5,3,20,10,33,34,10,4
397,mlp,0.01,0.1,4,39,29,35,48,23,3
398,lstm,1e-05,0.1,3,45,33,15,10,32,3
399,mlp,1e-05,0.6,2,24,16,3,43,23,2
400,mlp,0.001,0.6,4,26,50,5,47,47,2
401,lstm,1e-05,0.1,3,30,30,10,50,11,2
402,mlp,1e-05,0.6,1,5,34,45,35,42,3
403,mlp,0.0001,0.5,4,37,33,39,37,49,3
404,lstm,1e-05,0.6,3,7,23,18,29,31,4
405,mlp,0.0001,0.2,3,24,41,32,36,4,5
406,lstm,0.0001,0.9,4,41,12,3,33,35,3
407,mlp,0.1,0.5,5,31,3,6,46,19,4
408,lstm,0.0001,0.8,1,46,16,49,16,20,2
409,lstm,0.0001,0.8,1,19,13,22,24,20,5
410,mlp,1e-05,0.2,1,42,44,35,12,26,3
411,mlp,1e-05,0.3,1,23,35,36,31,28,3
412,lstm,0.1,0.0,1,3,39,9,17,40,2
413,mlp,0.1,0.6,2,13,14,10,48,10,5
414,mlp,0.001,0.9,3,29,10,26,11,15,4
415,lstm,0.001,0.9,5,28,42,6,36,20,4
416,mlp,0.01,0.3,3,19,47,36,31,23,5
417,lstm,0.0001,0.7,5,49,24,20,29,14,5
418,mlp,0.01,0.5,4,19,40,46,9,24,4
419,lstm,0.1,0.3,5,26,27,2,17,21,3
420,mlp,0.01,0.9,4,14,34,13,2,2,4
421,mlp,0.0001,0.3,4,7,50,20,41,8,3
422,mlp,0.1,0.8,1,9,36,36,29,7,5
423,lstm,0.001,0.5,4,28,40,50,34,42,5
424,lstm,0.001,0.5,2,32,9,34,42,31,2
425,mlp,1e-05,0.4,1,35,22,24,22,17,2
426,lstm,0.1,0.3,4,45,31,47,48,39,4
427,mlp,0.001,0.4,1,30,16,24,17,47,3
428,mlp,1e-05,0.9,5,24,25,43,16,15,5
429,mlp,0.1,0.9,5,47,48,32,35,28,2
430,mlp,0.1,0.9,3,19,22,15,3,20,4
431,mlp,1e-05,0.7,5,30,4,3,49,21,4
432,lstm,0.01,0.8,5,10,21,15,44,29,3
433,mlp,0.1,0.6,2,37,46,40,3,46,5
434,mlp,0.001,0.5,4,19,16,49,30,43,3
435,lstm,0.001,0.2,2,22,43,30,31,26,5
436,mlp,0.001,0.4,3,22,49,46,11,25,5
437,mlp,0.01,0.9,4,11,25,38,20,9,5
438,lstm,0.1,0.5,1,15,22,32,45,42,5
439,lstm,0.001,0.7,3,45,10,49,20,33,4
440,lstm,0.001,0.0,2,31,11,17,14,12,5
441,mlp,1e-05,0.9,4,14,10,40,20,42,3
442,mlp,0.001,0.5,4,38,13,50,3,9,3
443,mlp,0.001,0.4,4,40,7,25,37,11,4
444,mlp,0.0001,0.2,1,16,19,26,26,16,4
445,mlp,0.001,0.0,5,50,44,6,32,49,5
446,lstm,1e-05,0.9,2,38,10,21,20,2,5
447,mlp,0.01,0.7,5,3,43,4,33,33,4
448,lstm,0.001,0.6,2,24,29,19,39,46,3
449,lstm,1e-05,0.4,1,26,31,28,48,14,2
450,mlp,0.1,0.4,1,12,9,28,6,40,4
451,lstm,0.01,0.7,5,31,43,2,37,16,3
452,lstm,0.0001,0.4,2,20,50,16,41,37,5
453,mlp,0.01,0.0,3,11,2,9,11,28,2
454,mlp,0.0001,0.2,5,32,12,23,26,34,5
455,lstm,1e-05,0.1,3,41,11,15,24,23,3
456,lstm,0.1,0.0,2,16,12,26,20,12,5
457,lstm,0.0001,0.6,4,38,22,36,44,25,2
458,mlp,0.01,0.9,3,28,3,28,8,34,3
459,lstm,0.01,0.4,4,49,38,42,28,2,4
460,mlp,0.001,0.3,3,36,5,22,8,28,4
461,lstm,0.001,0.1,4,42,18,12,15,9,2
462,lstm,1e-05,0.0,4,40,46,41,29,48,2
463,lstm,0.1,0.2,2,9,4,29,37,47,2
464,mlp,0.001,0.0,4,29,12,42,47,18,5
465,mlp,0.1,0.6,1,12,21,20,9,11,2
466,lstm,0.0001,0.4,5,42,22,36,28,45,4
467,lstm,1e-05,0.8,2,9,27,30,23,35,4
468,mlp,1e-05,0.4,3,37,12,29,6,25,4
469,lstm,0.0001,0.6,3,11,26,15,18,19,4
470,mlp,0.001,0.9,3,7,39,18,37,19,5
471,mlp,0.001,0.7,1,37,3,46,5,29,5
472,mlp,0.001,0.0,5,15,37,48,22,44,2
473,lstm,0.001,0.2,4,3,13,4,21,18,2
474,lstm,0.0001,0.3,5,26,25,12,6,39,3
475,lstm,0.0001,0.8,2,48,43,39,6,35,3
476,mlp,0.01,0.2,4,42,2,33,40,22,5
477,lstm,0.01,0.8,4,14,34,13,47,23,5
478,lstm,0.0001,0.7,5,7,25,43,17,38,5
479,lstm,0.0001,0.1,4,45,44,45,32,6,2
480,lstm,0.01,0.0,5,49,8,42,18,34,3
481,lstm,1e-05,0.4,4,38,43,26,2,48,5
482,mlp,0.001,0.1,4,40,17,28,32,38,4
483,mlp,0.001,0.5,1,28,12,34,26,14,3
484,lstm,0.01,0.2,1,10,4,6,11,21,3
485,mlp,0.001,0.1,4,26,35,28,26,2,4
486,mlp,0.001,0.2,1,17,42,38,34,44,4
487,lstm,0.1,0.1,1,37,25,11,46,24,2
