,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
144,lstm,0.001,0.3,5,5,15,2,34,18,4
145,lstm,0.1,0.6,5,46,17,14,18,29,4
146,mlp,0.01,0.6,5,31,26,29,37,44,5
147,lstm,0.0001,0.7,3,3,11,16,2,21,2
148,lstm,0.01,0.5,2,16,21,20,42,20,2
149,lstm,0.0001,0.0,1,29,5,31,15,35,3
150,lstm,1e-05,0.9,1,31,45,41,40,23,4
151,lstm,0.001,0.4,2,5,17,11,46,4,3
152,mlp,0.0001,0.8,3,45,25,9,28,10,3
153,lstm,0.0001,0.3,4,19,28,10,11,33,3
154,mlp,0.001,0.6,3,48,46,29,25,12,3
155,mlp,1e-05,0.3,1,14,39,8,31,10,3
156,mlp,1e-05,0.7,5,5,12,3,32,21,4
157,mlp,0.0001,0.2,4,15,18,39,2,15,4
158,mlp,0.001,0.4,2,33,22,29,11,29,2
159,mlp,0.0001,0.6,1,15,41,11,21,31,4
160,lstm,0.0001,0.0,4,14,19,10,45,23,4
161,lstm,0.001,0.2,2,50,46,35,19,42,4
162,mlp,0.01,0.9,5,12,12,24,48,8,4
163,mlp,0.01,0.1,1,6,14,27,49,40,2
164,mlp,0.0001,0.0,5,28,42,30,48,26,3
165,lstm,1e-05,0.1,3,17,2,20,49,24,2
166,mlp,1e-05,0.3,3,13,41,45,39,27,3
167,lstm,1e-05,0.8,1,42,19,28,2,32,4
168,mlp,0.1,0.2,2,40,10,40,32,38,3
169,mlp,0.001,0.8,1,23,23,45,2,28,4
170,lstm,0.1,0.1,1,20,48,37,11,20,3
171,lstm,1e-05,0.7,2,5,38,18,43,17,3
172,mlp,0.1,0.0,4,9,47,32,13,10,4
173,mlp,0.1,0.1,4,19,11,3,22,7,3
174,lstm,0.01,0.4,2,49,6,31,12,18,2
175,mlp,0.0001,0.3,4,30,37,49,42,9,3
176,mlp,0.1,0.0,2,15,27,8,21,41,4
177,mlp,1e-05,0.8,3,26,8,6,22,19,5
178,lstm,0.001,0.4,3,25,29,23,40,2,4
179,mlp,1e-05,0.9,3,35,23,38,8,35,5
180,mlp,1e-05,0.1,3,28,21,5,46,8,4
181,mlp,0.01,0.0,4,25,32,26,27,46,4
182,lstm,0.01,0.7,3,4,5,31,17,16,5
183,lstm,0.001,0.2,1,41,15,47,30,27,4
184,lstm,0.01,0.9,1,41,30,15,28,12,5
185,mlp,0.0001,0.9,4,28,3,30,31,33,4
186,mlp,0.01,0.4,2,50,37,25,16,43,5
187,lstm,0.01,0.0,4,27,49,9,46,12,4
188,lstm,0.0001,0.2,4,35,9,42,36,19,3
189,lstm,0.1,0.3,4,33,4,6,28,30,2
190,lstm,1e-05,0.0,1,19,25,21,13,7,5
191,lstm,0.0001,0.5,5,17,35,23,23,44,3
192,lstm,0.01,0.1,3,11,13,33,12,5,2
193,lstm,1e-05,0.9,5,17,2,42,7,41,2
194,mlp,0.0001,0.7,3,42,4,20,43,32,4
195,mlp,0.1,0.6,3,42,46,20,23,35,4
196,mlp,0.001,0.4,2,22,3,27,13,25,3
197,mlp,0.1,0.8,2,50,45,19,50,6,5
198,mlp,0.001,0.5,1,10,48,24,2,50,3
199,mlp,0.001,0.5,1,24,7,42,27,18,4
200,mlp,0.1,0.5,4,42,29,49,13,8,3
201,mlp,0.0001,0.9,3,19,45,38,15,49,5
202,lstm,0.001,0.7,4,8,7,21,13,32,5
203,mlp,0.01,0.6,4,42,19,2,44,36,2
204,lstm,0.01,0.3,5,27,24,19,36,9,2
205,mlp,0.01,0.8,2,18,30,7,44,16,5
206,lstm,0.0001,0.0,5,11,37,48,27,50,4
207,lstm,0.001,0.9,5,50,11,15,27,34,5
208,lstm,0.1,0.8,3,7,45,30,11,6,4
209,mlp,0.1,0.5,4,32,12,45,21,18,5
210,mlp,0.01,0.9,4,11,31,23,13,36,4
211,lstm,0.01,0.0,1,37,26,36,26,12,2
212,lstm,1e-05,0.1,3,6,28,30,20,47,2
213,mlp,0.0001,0.8,4,35,4,45,49,21,4
214,lstm,0.0001,0.5,1,10,8,25,11,20,5
215,lstm,0.1,0.4,4,48,20,42,30,23,4
216,lstm,1e-05,0.4,4,7,16,46,8,36,5
217,mlp,0.01,0.1,2,5,19,26,28,10,3
218,mlp,1e-05,0.8,2,11,4,15,45,45,5
219,lstm,0.0001,0.1,5,11,49,41,9,2,2
220,mlp,1e-05,0.6,1,24,12,36,10,11,4
221,lstm,0.001,0.0,5,7,31,20,25,49,5
222,mlp,0.0001,0.6,2,2,45,9,33,31,3
223,lstm,1e-05,0.3,4,15,22,35,26,9,3
224,lstm,0.001,0.9,4,2,12,14,5,14,2
225,mlp,1e-05,0.9,3,18,31,42,44,33,3
226,lstm,0.0001,0.0,2,44,22,31,25,17,4
227,lstm,0.01,0.1,5,36,8,21,12,42,5
228,lstm,0.01,0.7,3,47,23,34,30,12,5
229,mlp,0.001,0.7,1,46,5,25,13,9,2
230,lstm,0.001,0.1,4,42,19,39,39,13,2
231,lstm,1e-05,0.5,5,33,27,9,33,19,3
232,lstm,0.01,0.0,1,40,25,42,17,13,3
233,mlp,1e-05,0.6,4,47,26,8,41,32,3
234,mlp,1e-05,0.0,5,46,42,8,5,29,5
235,lstm,0.0001,0.1,4,31,6,29,16,27,3
236,lstm,0.001,0.0,2,6,31,44,31,45,5
237,mlp,0.0001,0.3,1,19,30,34,20,42,5
238,mlp,0.0001,0.2,3,35,39,46,14,8,2
239,mlp,1e-05,0.1,3,26,45,2,40,20,4
240,mlp,0.001,0.2,5,22,13,45,5,7,4
241,mlp,0.0001,0.8,2,28,15,42,4,24,5
242,lstm,0.1,0.5,2,45,34,13,40,26,3
243,mlp,0.1,0.1,5,8,26,7,13,4,3
244,mlp,0.001,0.0,2,21,46,48,14,42,2
245,lstm,0.1,0.3,2,15,35,10,31,42,3
246,lstm,0.0001,0.6,5,43,6,8,26,2,5
247,mlp,0.01,0.5,2,23,21,8,34,32,3
248,mlp,0.1,0.0,1,49,41,11,30,23,5
249,lstm,0.0001,0.1,5,13,13,30,44,39,5
250,mlp,0.0001,0.2,4,49,14,26,44,15,3
251,mlp,0.01,0.7,2,31,28,31,13,23,4
252,lstm,0.01,0.8,1,32,13,37,35,9,2
253,mlp,0.0001,0.8,3,16,3,20,41,39,4
254,lstm,1e-05,0.1,1,33,11,13,11,37,2
255,mlp,0.001,0.1,4,8,23,36,38,31,3
256,mlp,0.01,0.9,3,47,16,26,44,48,5
257,mlp,1e-05,0.6,3,38,35,28,11,48,4
258,lstm,0.001,0.5,2,7,40,14,29,6,2
259,lstm,0.0001,0.4,5,22,11,33,3,8,4
260,mlp,0.0001,0.1,1,38,46,19,15,49,4
261,mlp,0.0001,0.8,2,23,38,21,15,4,5
262,lstm,0.1,0.8,4,37,42,19,32,2,4
263,mlp,0.0001,0.2,1,11,2,13,43,22,4
264,lstm,1e-05,0.0,5,25,21,27,39,33,5
265,lstm,1e-05,0.2,1,9,10,37,28,40,3
266,mlp,0.0001,0.9,4,24,18,48,25,36,3
267,lstm,0.01,0.7,2,39,23,42,42,39,3
268,mlp,0.0001,0.4,2,3,17,32,50,28,5
269,mlp,0.001,0.8,3,34,24,21,14,12,2
270,mlp,0.01,0.4,4,3,6,11,13,49,3
271,mlp,1e-05,0.5,4,22,40,4,36,8,3
272,mlp,1e-05,0.7,4,5,35,27,30,43,2
273,lstm,0.01,0.1,2,47,17,32,28,42,5
274,lstm,0.1,0.7,4,23,23,14,18,30,2
275,lstm,0.0001,0.7,4,6,10,16,33,20,4
276,lstm,0.1,0.4,5,10,6,7,6,43,2
277,lstm,0.1,0.4,5,25,40,43,14,44,3
278,lstm,0.01,0.4,1,48,46,49,19,46,5
279,mlp,0.1,0.4,3,30,2,4,6,24,5
280,mlp,0.0001,0.5,5,30,26,24,43,42,5
281,lstm,0.1,0.6,5,25,17,14,20,15,3
282,lstm,0.0001,0.2,2,19,32,43,25,16,3
283,lstm,0.001,0.9,1,30,13,35,5,21,2
284,mlp,1e-05,0.3,4,4,29,36,22,25,2
285,mlp,0.001,0.5,5,37,43,49,30,48,4
286,lstm,0.0001,0.9,5,3,34,48,24,9,2
287,mlp,0.001,0.0,3,50,43,34,4,45,5
288,mlp,1e-05,0.6,5,8,9,9,12,18,2
289,lstm,0.1,0.9,1,19,17,15,47,44,3
290,lstm,0.001,0.3,4,42,41,7,41,30,2
291,lstm,0.1,0.7,3,20,12,38,17,8,5
292,mlp,1e-05,0.3,2,4,19,49,31,7,2
293,lstm,0.0001,0.0,2,39,40,14,21,12,2
294,lstm,0.1,0.8,1,15,46,9,43,29,2
295,mlp,0.001,0.2,5,14,40,24,30,3,4
296,mlp,1e-05,0.2,3,13,2,4,6,32,2
297,mlp,0.1,0.4,5,6,17,3,4,45,2
298,lstm,0.001,0.5,5,34,6,18,35,21,5
299,mlp,0.1,0.9,3,29,4,4,2,19,5
300,mlp,0.1,0.3,2,6,6,16,3,20,2
301,mlp,0.0001,0.6,2,47,3,13,36,2,4
302,lstm,0.1,0.0,4,2,9,2,5,33,4
303,lstm,0.001,0.9,4,8,44,18,22,46,5
304,mlp,0.001,0.8,4,46,46,2,28,36,2
305,mlp,0.0001,0.8,1,40,22,46,2,38,4
306,mlp,1e-05,0.7,2,17,28,42,23,44,2
307,mlp,0.01,0.0,5,8,33,41,8,18,4
308,mlp,0.01,0.7,4,34,18,12,34,50,5
309,lstm,0.1,0.9,3,45,46,23,25,43,4
310,mlp,0.1,0.4,3,25,16,21,27,36,3
311,mlp,1e-05,0.6,1,43,50,34,8,14,4
312,lstm,1e-05,0.4,3,40,41,27,49,10,3
313,lstm,0.0001,0.6,1,25,39,49,2,29,2
314,lstm,1e-05,0.1,5,49,20,38,19,14,3
315,lstm,0.001,0.2,3,11,20,15,15,25,4
316,mlp,0.001,0.2,3,37,46,44,8,47,4
317,lstm,0.0001,0.6,3,35,7,21,39,19,4
318,lstm,0.01,0.3,5,28,13,28,45,3,3
319,mlp,0.0001,0.5,5,25,44,16,30,38,4
320,mlp,0.01,0.5,3,41,48,22,43,28,4
321,mlp,0.001,0.6,2,3,11,32,42,32,3
322,lstm,0.0001,0.3,2,11,33,42,13,44,5
323,lstm,0.0001,0.7,4,9,13,39,5,41,5
324,lstm,0.01,0.3,1,27,12,48,5,25,3
325,mlp,1e-05,0.8,4,30,3,33,50,7,2
326,lstm,0.1,0.9,5,3,6,14,32,18,4
327,lstm,0.0001,0.6,2,36,28,14,37,47,4
328,lstm,1e-05,0.3,2,24,34,19,27,30,2
329,mlp,0.1,0.3,4,27,44,32,11,35,5
330,mlp,0.01,0.4,3,46,12,11,29,26,2
331,mlp,0.001,0.4,4,28,8,18,21,26,4
332,lstm,0.1,0.4,1,44,3,37,23,9,4
333,mlp,0.01,0.6,2,24,34,38,34,34,2
334,lstm,0.001,0.0,4,13,15,32,16,14,4
335,mlp,0.1,0.0,4,39,49,26,5,26,5
336,mlp,0.01,0.2,3,34,24,8,3,25,2
337,lstm,0.1,0.8,5,11,34,12,3,14,5
338,mlp,0.01,0.1,3,42,27,49,12,8,2
339,mlp,0.0001,0.9,3,42,38,5,37,9,3
340,lstm,0.0001,0.4,2,47,22,42,32,29,3
341,mlp,0.1,0.0,4,27,22,40,5,37,2
342,mlp,0.001,0.1,3,12,38,3,10,25,5
343,lstm,0.01,0.0,4,36,29,13,18,7,3
344,lstm,0.1,0.6,1,35,8,19,32,37,4
345,mlp,0.01,0.5,2,10,15,48,26,15,3
346,mlp,0.001,0.3,3,10,29,32,19,6,4
347,mlp,0.0001,0.5,4,39,43,47,27,3,5
348,mlp,0.01,0.3,3,29,10,42,36,34,5
349,lstm,0.0001,0.6,2,4,24,23,7,22,4
350,mlp,0.01,0.2,3,38,45,24,29,8,3
351,mlp,0.01,0.2,4,31,43,9,48,26,4
352,mlp,0.0001,0.6,5,34,7,34,24,27,4
353,lstm,0.001,0.4,1,45,30,33,25,33,2
354,lstm,0.01,0.7,2,22,47,42,30,39,4
355,mlp,0.0001,0.0,4,14,29,24,24,4,3
356,lstm,0.001,0.9,4,22,13,16,16,30,5
357,lstm,0.001,0.3,5,15,36,50,47,34,4
358,mlp,1e-05,0.4,2,10,31,44,26,50,4
359,lstm,0.01,0.9,2,35,15,34,24,23,4
360,lstm,0.1,0.4,1,26,40,24,44,22,2
361,lstm,1e-05,0.5,5,29,28,19,5,41,3
362,mlp,0.001,0.5,4,15,7,44,47,22,3
363,lstm,0.001,0.9,5,44,7,26,38,4,5
364,lstm,0.0001,0.6,3,22,33,34,24,16,5
365,mlp,0.0001,0.7,5,4,28,47,17,28,5
366,lstm,0.1,0.7,5,41,24,46,9,6,3
367,mlp,0.001,0.8,2,4,19,2,46,46,5
368,mlp,1e-05,0.3,4,46,19,16,48,15,3
369,lstm,0.001,0.5,5,50,23,24,28,21,5
370,lstm,1e-05,0.9,2,14,4,46,23,18,5
371,lstm,0.0001,0.0,3,10,27,41,49,34,5
372,lstm,0.0001,0.1,5,32,17,10,29,5,3
373,mlp,0.01,0.2,5,35,27,13,20,34,5
374,lstm,1e-05,0.4,4,30,7,28,47,13,3
375,lstm,0.01,0.2,4,31,48,47,43,12,3
376,mlp,0.001,0.9,5,20,49,13,36,17,2
377,mlp,0.01,0.0,4,31,28,28,19,10,4
378,lstm,1e-05,0.9,1,26,10,16,21,11,5
379,mlp,0.01,0.5,2,21,40,13,10,44,2
380,lstm,0.0001,0.6,4,28,4,36,15,19,4
381,mlp,0.0001,0.0,5,10,43,8,44,13,3
382,lstm,1e-05,0.6,3,31,33,22,13,25,4
383,mlp,0.1,0.4,5,30,22,22,48,43,2
384,lstm,0.1,0.3,4,47,41,27,44,27,4
385,mlp,0.1,0.8,2,38,14,8,27,29,3
386,mlp,0.1,0.2,3,30,6,30,28,29,5
387,lstm,1e-05,0.9,1,31,45,41,44,41,5
388,lstm,0.001,0.6,3,16,19,30,33,18,4
389,mlp,0.001,0.6,1,47,28,50,24,17,3
390,lstm,1e-05,0.4,5,42,31,24,32,32,5
391,lstm,1e-05,0.3,1,44,9,49,12,9,3
392,mlp,0.01,0.4,5,15,18,36,44,38,3
393,mlp,0.0001,0.9,5,42,22,2,23,7,4
394,lstm,1e-05,0.1,2,4,12,25,28,9,2
395,lstm,0.001,0.9,2,47,9,26,36,38,3
396,mlp,0.0001,0.0,2,37,25,29,41,47,3
397,lstm,0.001,0.4,3,28,5,36,43,37,3
398,lstm,1e-05,0.1,2,47,21,30,46,5,3
399,lstm,1e-05,0.2,4,27,33,20,12,7,4
400,lstm,0.1,0.0,5,4,2,7,40,30,3
401,mlp,0.0001,0.6,5,44,49,18,18,38,4
402,lstm,0.1,0.4,1,38,44,3,33,31,4
403,lstm,0.001,0.2,4,33,24,10,21,50,3
404,lstm,0.0001,0.6,3,45,44,8,27,24,5
405,lstm,1e-05,0.0,1,50,2,50,24,13,3
406,lstm,0.001,0.4,3,10,16,24,15,46,4
407,lstm,0.01,0.5,5,6,5,8,15,45,3
408,lstm,0.001,0.4,2,38,19,18,47,8,3
409,mlp,1e-05,0.2,5,6,24,30,33,42,3
410,mlp,0.001,0.1,1,39,34,18,15,15,4
411,mlp,1e-05,0.2,1,4,44,11,47,39,5
412,mlp,0.01,0.6,3,45,27,20,45,38,3
413,lstm,0.001,0.1,2,35,27,16,46,23,2
414,mlp,0.01,0.6,5,25,38,10,28,24,2
415,lstm,0.001,0.5,5,24,50,41,44,46,5
416,mlp,0.1,0.5,3,39,46,6,28,46,2
417,lstm,0.001,0.7,5,35,14,49,13,35,3
418,lstm,0.1,0.8,3,47,40,4,8,48,5
419,mlp,0.0001,0.4,4,11,40,19,8,21,5
420,lstm,0.01,0.2,1,10,37,24,43,36,3
421,lstm,0.0001,0.6,2,41,22,33,38,33,3
422,mlp,1e-05,0.7,5,33,18,48,49,25,2
423,lstm,0.001,0.3,1,40,35,11,41,12,4
424,mlp,0.001,0.0,1,15,27,20,12,18,2
425,lstm,0.001,0.3,2,39,22,25,42,18,3
426,mlp,0.001,0.8,2,21,9,28,8,13,5
427,lstm,0.001,0.5,2,31,18,4,50,17,2
428,mlp,0.01,0.7,1,47,19,6,21,5,2
429,mlp,0.0001,0.3,2,37,43,32,16,20,2
430,mlp,0.0001,0.4,4,44,3,28,18,18,3
431,mlp,0.001,0.1,2,20,50,37,22,47,3
432,mlp,0.0001,0.0,2,15,20,45,10,12,5
433,mlp,0.1,0.6,3,13,14,43,40,45,2
434,mlp,1e-05,0.4,4,39,30,39,26,32,2
435,lstm,0.0001,0.3,2,46,5,49,36,45,5
436,lstm,0.001,0.3,3,46,22,47,15,21,5
437,lstm,0.001,0.9,1,21,48,49,15,7,4
438,mlp,1e-05,0.4,4,18,19,30,13,12,3
439,mlp,1e-05,0.7,4,9,13,18,29,3,3
440,mlp,0.0001,0.4,1,22,3,28,13,48,3
441,lstm,0.0001,0.5,2,37,31,35,26,50,3
442,lstm,1e-05,0.6,3,3,40,50,21,32,5
443,mlp,1e-05,0.7,1,27,8,3,42,32,5
444,mlp,0.01,0.1,5,23,47,35,9,34,3
445,mlp,0.1,0.5,2,5,26,46,7,47,5
446,mlp,0.01,0.3,4,31,46,31,26,36,3
447,lstm,1e-05,0.1,3,45,25,50,33,14,3
448,lstm,0.01,0.9,4,5,40,5,34,21,4
449,mlp,0.1,0.3,3,15,41,7,15,49,5
450,mlp,0.001,0.0,4,29,8,8,33,14,3
451,mlp,0.01,0.9,1,31,39,16,45,15,3
452,mlp,0.1,0.0,3,4,19,48,14,17,2
453,lstm,1e-05,0.6,5,35,10,44,33,7,2
454,mlp,1e-05,0.9,1,21,44,35,36,35,2
455,mlp,1e-05,0.6,1,20,11,29,23,36,5
456,mlp,0.0001,0.2,5,46,5,4,47,13,3
457,mlp,1e-05,0.6,4,27,34,42,32,32,2
458,lstm,0.0001,0.2,2,11,50,37,40,27,3
459,mlp,0.01,0.0,5,22,33,7,34,39,3
460,mlp,1e-05,0.0,1,32,10,26,50,46,5
461,lstm,1e-05,0.9,2,21,16,46,5,24,5
462,lstm,0.1,0.6,1,5,8,2,29,19,2
463,lstm,0.01,0.2,4,37,4,43,22,41,2
464,mlp,1e-05,0.0,3,7,30,35,49,23,4
465,lstm,0.1,0.5,2,36,18,14,44,2,5
466,lstm,0.01,0.5,2,49,48,13,15,16,5
467,lstm,0.01,0.8,1,41,48,3,12,36,2
468,lstm,1e-05,0.7,4,20,36,48,13,31,2
469,mlp,1e-05,0.5,3,36,27,33,29,38,2
470,mlp,0.01,0.6,2,25,6,18,10,48,3
471,mlp,0.1,0.9,2,10,3,47,12,41,2
472,lstm,0.0001,0.6,2,37,41,20,35,36,5
473,mlp,0.001,0.7,3,2,39,39,14,15,2
474,mlp,0.01,0.2,5,20,32,40,12,14,2
475,lstm,1e-05,0.4,4,47,2,23,50,18,5
476,lstm,0.001,0.3,3,23,5,4,43,39,3
477,mlp,0.01,0.8,3,36,22,48,12,45,5
478,mlp,1e-05,0.5,2,40,13,29,44,8,2
479,lstm,0.1,0.3,2,29,32,25,19,34,3
480,mlp,1e-05,0.0,3,10,44,23,10,25,4
481,mlp,0.001,0.6,2,26,47,49,41,19,3
482,mlp,1e-05,0.0,3,41,8,36,19,11,5
483,lstm,0.0001,0.1,4,35,44,23,13,5,4
484,mlp,0.1,0.0,2,43,21,49,46,13,3
485,lstm,0.01,0.6,5,43,6,18,42,28,2
486,lstm,0.01,0.1,1,3,25,35,43,27,3
487,lstm,0.0001,0.4,5,33,2,45,30,8,3
